,cdf,Number of Output Tokens
0,0.0,584.6431281118549
1,0.01,584.6431281118549
2,0.02,584.6431281118549
3,0.03,584.6431281118549
4,0.04,643.5512430645687
5,0.05,643.5512430645687
6,0.06,643.5512430645687
7,0.07,781.3332226227999
8,0.08,781.3332226227999
9,0.09,781.3332226227999
10,0.1,781.3332226227999
11,0.11,800.3120613813115
12,0.12,800.3120613813115
13,0.13,800.3120613813115
14,0.14,803.5197217398937
15,0.15,803.5197217398937
16,0.16,803.5197217398937
17,0.17,803.5197217398937
18,0.18,879.1906423534931
19,0.19,879.1906423534931
20,0.2,879.1906423534931
21,0.21,1189.1592934419061
22,0.22,1189.1592934419061
23,0.23,1189.1592934419061
24,0.24,1189.1592934419061
25,0.25,1205.9246125394757
26,0.26,1205.9246125394757
27,0.27,1205.9246125394757
28,0.28,1262.692822694545
29,0.29,1262.692822694545
30,0.3,1262.692822694545
31,0.31,1262.692822694545
32,0.32,1293.36404310292
33,0.33,1293.36404310292
34,0.34,1293.36404310292
35,0.35000000000000003,1308.977912676172
36,0.36,1308.977912676172
37,0.37,1308.977912676172
38,0.38,1398.2852092631533
39,0.39,1398.2852092631533
40,0.4,1398.2852092631533
41,0.41000000000000003,1398.2852092631533
42,0.42,1412.3382139553664
43,0.43,1412.3382139553664
44,0.44,1412.3382139553664
45,0.45,1452.4425377313005
46,0.46,1452.4425377313005
47,0.47000000000000003,1452.4425377313005
48,0.48,1452.4425377313005
49,0.49,1452.4425377313005
50,0.5,1452.4425377313005
51,0.51,1452.4425377313005
52,0.52,1499.6723616538727
53,0.53,1499.6723616538727
54,0.54,1499.6723616538727
55,0.55,1499.6723616538727
56,0.56,1511.7178623223228
57,0.5700000000000001,1511.7178623223228
58,0.58,1511.7178623223228
59,0.59,1601.990118957891
60,0.6,1601.990118957891
61,0.61,1601.990118957891
62,0.62,1601.990118957891
63,0.63,1605.1973063832322
64,0.64,1605.1973063832322
65,0.65,1605.1973063832322
66,0.66,1608.4109146042197
67,0.67,1608.4109146042197
68,0.68,1608.4109146042197
69,0.6900000000000001,1621.3298129198768
70,0.7000000000000001,1621.3298129198768
71,0.71,1621.3298129198768
72,0.72,1621.3298129198768
73,0.73,1660.7124427669496
74,0.74,1660.7124427669496
75,0.75,1660.7124427669496
76,0.76,1670.706673464371
77,0.77,1670.706673464371
78,0.78,1670.706673464371
79,0.79,1670.706673464371
80,0.8,1853.816949172257
81,0.81,1853.816949172257
82,0.8200000000000001,1853.816949172257
83,0.8300000000000001,1925.6175895359252
84,0.84,1925.6175895359252
85,0.85,1925.6175895359252
86,0.86,1925.6175895359252
87,0.87,2132.3971640222126
88,0.88,2132.3971640222126
89,0.89,2132.3971640222126
90,0.9,2175.4744587078885
91,0.91,2175.4744587078885
92,0.92,2175.4744587078885
93,0.93,2175.4744587078885
94,0.9400000000000001,2399.4674462915236
95,0.9500000000000001,2399.4674462915236
96,0.96,2399.4674462915236
97,0.97,3181.163178623857
98,0.98,3181.163178623857
99,0.99,3181.163178623857
100,1.0,47810.621058248835
