,cdf,Number of Prompt Tokens
0,0.0,3740.603504890831
1,0.01,3740.603504890831
2,0.02,3740.603504890831
3,0.03,3740.603504890831
4,0.04,3831.463983779132
5,0.05,3831.463983779132
6,0.06,3831.463983779132
7,0.07,4011.8279554329893
8,0.08,4011.8279554329893
9,0.09,4011.8279554329893
10,0.1,4011.8279554329893
11,0.11,4670.4108177561075
12,0.12,4670.4108177561075
13,0.13,4670.4108177561075
14,0.14,4870.745723526165
15,0.15,4870.745723526165
16,0.16,4870.745723526165
17,0.17,4870.745723526165
18,0.18,4929.546792611982
19,0.19,4929.546792611982
20,0.2,4929.546792611982
21,0.21,5161.602383303471
22,0.22,5161.602383303471
23,0.23,5161.602383303471
24,0.24,5161.602383303471
25,0.25,5265.873703237341
26,0.26,5265.873703237341
27,0.27,5265.873703237341
28,0.28,5426.243486989982
29,0.29,5426.243486989982
30,0.3,5426.243486989982
31,0.31,5426.243486989982
32,0.32,6105.8487707443965
33,0.33,6105.8487707443965
34,0.34,6105.8487707443965
35,0.35000000000000003,6279.228584169569
36,0.36,6279.228584169569
37,0.37,6279.228584169569
38,0.38,6775.052808532365
39,0.39,6775.052808532365
40,0.4,6775.052808532365
41,0.41000000000000003,6775.052808532365
42,0.42,7037.459045764947
43,0.43,7037.459045764947
44,0.44,7037.459045764947
45,0.45,7222.832454471328
46,0.46,7222.832454471328
47,0.47000000000000003,7222.832454471328
48,0.48,7222.832454471328
49,0.49,7354.020633933474
50,0.5,7354.020633933474
51,0.51,7354.020633933474
52,0.52,7918.8596617111725
53,0.53,7918.8596617111725
54,0.54,7918.8596617111725
55,0.55,7918.8596617111725
56,0.56,8324.86841736286
57,0.5700000000000001,8324.86841736286
58,0.58,8324.86841736286
59,0.59,9218.82200313765
60,0.6,9218.82200313765
61,0.61,9218.82200313765
62,0.62,9218.82200313765
63,0.63,9633.50646742769
64,0.64,9633.50646742769
65,0.65,9633.50646742769
66,0.66,9808.479676797426
67,0.67,9808.479676797426
68,0.68,9808.479676797426
69,0.6900000000000001,10905.282665253293
70,0.7000000000000001,10905.282665253293
71,0.71,10905.282665253293
72,0.72,10905.282665253293
73,0.73,11237.398078828997
74,0.74,11237.398078828997
75,0.75,11237.398078828997
76,0.76,11813.551995637032
77,0.77,11813.551995637032
78,0.78,11813.551995637032
79,0.79,11813.551995637032
80,0.8,12797.46844144532
81,0.81,12797.46844144532
82,0.8200000000000001,12797.46844144532
83,0.8300000000000001,12823.08899888565
84,0.84,12823.08899888565
85,0.85,12823.08899888565
86,0.86,12823.08899888565
87,0.87,13835.633465388526
88,0.88,13835.633465388526
89,0.89,13835.633465388526
90,0.9,16106.895142337917
91,0.91,16106.895142337917
92,0.92,16106.895142337917
93,0.93,16106.895142337917
94,0.9400000000000001,16139.141178658916
95,0.9500000000000001,16139.141178658916
96,0.96,16139.141178658916
97,0.97,16171.451771609185
98,0.98,16171.451771609185
99,0.99,16171.451771609185
100,1.0,16268.772183954849
