,cdf,Number of Total Tokens
0,0.0,5458.898826850627
1,0.01,5458.898826850627
2,0.02,5458.898826850627
3,0.03,5458.898826850627
4,0.04,6229.195139442144
5,0.05,6229.195139442144
6,0.06,6229.195139442144
7,0.07,6279.228584169569
8,0.08,6279.228584169569
9,0.09,6279.228584169569
10,0.1,6279.228584169569
11,0.11,6329.663901937605
12,0.12,6329.663901937605
13,0.13,6329.663901937605
14,0.14,6667.514528133885
15,0.15,6667.514528133885
16,0.16,6667.514528133885
17,0.17,6667.514528133885
18,0.18,6870.570644422253
19,0.19,6870.570644422253
20,0.2,6870.570644422253
21,0.21,6911.918000096232
22,0.22,6911.918000096232
23,0.23,6911.918000096232
24,0.24,6911.918000096232
25,0.25,7354.020633933474
26,0.26,7354.020633933474
27,0.27,7354.020633933474
28,0.28,7777.5953337811525
29,0.29,7777.5953337811525
30,0.3,7777.5953337811525
31,0.31,7777.5953337811525
32,0.32,7840.065665426578
33,0.33,7840.065665426578
34,0.34,7840.065665426578
35,0.35000000000000003,8014.458455095138
36,0.36,8014.458455095138
37,0.37,8014.458455095138
38,0.38,8374.967792393845
39,0.39,8374.967792393845
40,0.4,8374.967792393845
41,0.41000000000000003,8374.967792393845
42,0.42,8408.534763939542
43,0.43,8408.534763939542
44,0.44,8408.534763939542
45,0.45,9218.82200313765
46,0.46,9218.82200313765
47,0.47000000000000003,9218.82200313765
48,0.48,9218.82200313765
49,0.49,9518.595198063365
50,0.5,9518.595198063365
51,0.51,9518.595198063365
52,0.52,10086.998264499098
53,0.53,10086.998264499098
54,0.54,10086.998264499098
55,0.55,10086.998264499098
56,0.56,10498.656612932748
57,0.5700000000000001,10498.656612932748
58,0.58,10498.656612932748
59,0.59,10646.671541784015
60,0.6,10646.671541784015
61,0.61,10646.671541784015
62,0.62,10646.671541784015
63,0.63,11441.502743466534
64,0.64,11441.502743466534
65,0.65,11441.502743466534
66,0.66,12444.109320822423
67,0.67,12444.109320822423
68,0.68,12444.109320822423
69,0.6900000000000001,12544.06150436265
70,0.7000000000000001,12544.06150436265
71,0.71,12544.06150436265
72,0.72,12544.06150436265
73,0.73,13134.566012084904
74,0.74,13134.566012084904
75,0.75,13134.566012084904
76,0.76,14115.131895609333
77,0.77,14115.131895609333
78,0.78,14115.131895609333
79,0.79,14115.131895609333
80,0.8,14228.505879841674
81,0.81,14228.505879841674
82,0.8200000000000001,14228.505879841674
83,0.8300000000000001,14486.93798312097
84,0.84,14486.93798312097
85,0.85,14486.93798312097
86,0.86,14486.93798312097
87,0.87,16697.30721848865
88,0.88,16697.30721848865
89,0.89,16697.30721848865
90,0.9,17034.615312704733
91,0.91,17034.615312704733
92,0.92,17034.615312704733
93,0.93,17034.615312704733
94,0.9400000000000001,17413.529751956652
95,0.9500000000000001,17413.529751956652
96,0.96,17413.529751956652
97,0.97,17659.03376854769
98,0.98,17659.03376854769
99,0.99,17659.03376854769
100,1.0,52627.97616914499
