Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8855.00000,7354.02063,16106.89514,16171.45177
3023.76667,1452.44254,2175.47446,3181.16318
11878.76667,9518.59520,17034.61531,17659.03377
0.01161,0.01162,0.01205,0.01214
465.30493,272.87160,1017.39611,1037.94888
0.01155,0.01501,0.01600,0.03102
500.40320,288.58838,1027.62111,1061.03680
0.40344,0.20659,1.16766,1.66363
11.63247,4.67861,30.41697,53.67787
0.77277,0.86675,0.97531,0.98314
3.53331,1.75945,10.47509,14.95432
