,cdf,Number of Output Tokens
0,0.0,448.99041302084834
1,0.01,448.99041302084834
2,0.02,448.99041302084834
3,0.03,576.515150210852
4,0.04,576.515150210852
5,0.05,576.515150210852
6,0.06,634.6042974317952
7,0.07,634.6042974317952
8,0.08,634.6042974317952
9,0.09,711.2341418342127
10,0.1,711.2341418342127
11,0.11,711.2341418342127
12,0.12,724.1522751048786
13,0.13,724.1522751048786
14,0.14,724.1522751048786
15,0.15,778.2141310345766
16,0.16,778.2141310345766
17,0.17,778.2141310345766
18,0.18,875.6809027729796
19,0.19,875.6809027729796
20,0.2,875.6809027729796
21,0.21,911.4181305128837
22,0.22,911.4181305128837
23,0.23,911.4181305128837
24,0.24,920.5780380766729
25,0.25,920.5780380766729
26,0.26,920.5780380766729
27,0.27,931.6915258028704
28,0.28,931.6915258028704
29,0.29,931.6915258028704
30,0.3,1044.1952969595702
31,0.31,1044.1952969595702
32,0.32,1044.1952969595702
33,0.33,1097.732352960925
34,0.34,1097.732352960925
35,0.35000000000000003,1097.732352960925
36,0.36,1156.3246524241297
37,0.37,1156.3246524241297
38,0.38,1156.3246524241297
39,0.39,1167.9459122776907
40,0.4,1167.9459122776907
41,0.41000000000000003,1167.9459122776907
42,0.42,1172.6270535281612
43,0.43,1172.6270535281612
44,0.44,1172.6270535281612
45,0.45,1235.2169146119252
46,0.46,1235.2169146119252
47,0.47000000000000003,1235.2169146119252
48,0.48,1240.167678848081
49,0.49,1240.167678848081
50,0.5,1270.2917561673153
51,0.51,1270.2917561673153
52,0.52,1270.2917561673153
53,0.53,1295.9533605065296
54,0.54,1295.9533605065296
55,0.55,1295.9533605065296
56,0.56,1335.4210294804682
57,0.5700000000000001,1335.4210294804682
58,0.58,1335.4210294804682
59,0.59,1340.773413013072
60,0.6,1340.773413013072
61,0.61,1340.773413013072
62,0.62,1346.147248963189
63,0.63,1346.147248963189
64,0.64,1346.147248963189
65,0.65,1356.9596223867638
66,0.66,1356.9596223867638
67,0.67,1356.9596223867638
68,0.68,1367.858841747247
69,0.6900000000000001,1367.858841747247
70,0.7000000000000001,1367.858841747247
71,0.71,1373.3412364211895
72,0.72,1373.3412364211895
73,0.73,1373.3412364211895
74,0.74,1437.9904882177887
75,0.75,1437.9904882177887
76,0.76,1437.9904882177887
77,0.77,1446.6443697145764
78,0.78,1446.6443697145764
79,0.79,1446.6443697145764
80,0.8,1505.683066499475
81,0.81,1505.683066499475
82,0.8200000000000001,1505.683066499475
83,0.8300000000000001,1539.1751673987685
84,0.84,1539.1751673987685
85,0.85,1539.1751673987685
86,0.86,1621.3298129198768
87,0.87,1621.3298129198768
88,0.88,1621.3298129198768
89,0.89,1621.3298129198768
90,0.9,1621.3298129198768
91,0.91,1621.3298129198768
92,0.92,1627.8281222919913
93,0.93,1627.8281222919913
94,0.9400000000000001,1627.8281222919913
95,0.9500000000000001,1809.8549815050308
96,0.96,1809.8549815050308
97,0.97,1809.8549815050308
98,0.98,1831.704080974291
99,0.99,1831.704080974291
100,1.0,1996.2027562526248
