,cdf,Number of Prompt Tokens
0,0.0,981.4212697973203
1,0.01,981.4212697973203
2,0.02,981.4212697973203
3,0.03,1001.2473012529721
4,0.04,1001.2473012529721
5,0.05,1001.2473012529721
6,0.06,1015.3633499553291
7,0.07,1015.3633499553291
8,0.08,1015.3633499553291
9,0.09,1027.6211137305045
10,0.1,1027.6211137305045
11,0.11,1027.6211137305045
12,0.12,1247.6310551477372
13,0.13,1247.6310551477372
14,0.14,1247.6310551477372
15,0.15,1324.780277456438
16,0.16,1324.780277456438
17,0.17,1324.780277456438
18,0.18,1324.780277456438
19,0.19,1324.780277456438
20,0.2,1324.780277456438
21,0.21,1403.8895531837034
22,0.22,1403.8895531837034
23,0.23,1403.8895531837034
24,0.24,1472.9197460836535
25,0.25,1472.9197460836535
26,0.26,1472.9197460836535
27,0.27,1484.7503673844674
28,0.28,1484.7503673844674
29,0.29,1484.7503673844674
30,0.3,1595.5949552047311
31,0.31,1595.5949552047311
32,0.32,1595.5949552047311
33,0.33,1690.8759338004254
34,0.34,1690.8759338004254
35,0.35000000000000003,1690.8759338004254
36,0.36,2482.452112412912
37,0.37,2482.452112412912
38,0.38,2482.452112412912
39,0.39,2497.391603722689
40,0.4,2497.391603722689
41,0.41000000000000003,2497.391603722689
42,0.42,2651.82172890474
43,0.43,2651.82172890474
44,0.44,2651.82172890474
45,0.45,3586.751611728787
46,0.46,3586.751611728787
47,0.47000000000000003,3586.751611728787
48,0.48,3733.1297716143254
49,0.49,3733.1297716143254
50,0.5,4861.0139638388
51,0.51,4861.0139638388
52,0.52,4861.0139638388
53,0.53,5404.581857961706
54,0.54,5404.581857961706
55,0.55,5404.581857961706
56,0.56,6911.918000096232
57,0.5700000000000001,6911.918000096232
58,0.58,6911.918000096232
59,0.59,7208.40122079606
60,0.6,7208.40122079606
61,0.61,7208.40122079606
62,0.62,9348.793230237878
63,0.63,9348.793230237878
64,0.64,9348.793230237878
65,0.65,9556.745841992824
66,0.66,9556.745841992824
67,0.67,9556.745841992824
68,0.68,9652.79276666178
69,0.6900000000000001,9652.79276666178
70,0.7000000000000001,9652.79276666178
71,0.71,9887.26225059443
72,0.72,9887.26225059443
73,0.73,9887.26225059443
74,0.74,10026.657458239642
75,0.75,10026.657458239642
76,0.76,10026.657458239642
77,0.77,13918.896834251875
78,0.78,13918.896834251875
79,0.79,13918.896834251875
80,0.8,15017.969138169508
81,0.81,15017.969138169508
82,0.8200000000000001,15017.969138169508
83,0.8300000000000001,17659.03376854769
84,0.84,17659.03376854769
85,0.85,17659.03376854769
86,0.86,20231.636164173382
87,0.87,20231.636164173382
88,0.88,20231.636164173382
89,0.89,22225.661780407474
90,0.9,22225.661780407474
91,0.91,22225.661780407474
92,0.92,27529.21016274113
93,0.93,27529.21016274113
94,0.9400000000000001,27529.21016274113
95,0.9500000000000001,27694.881997430202
96,0.96,27694.881997430202
97,0.97,27694.881997430202
98,0.98,28710.061685033208
99,0.99,28710.061685033208
100,1.0,28998.602698626644
