,cdf,Number of Total Tokens
0,0.0,1605.1973063832322
1,0.01,1605.1973063832322
2,0.02,1605.1973063832322
3,0.03,1634.3524769661533
4,0.04,1634.3524769661533
5,0.05,1634.3524769661533
6,0.06,1738.8895294420502
7,0.07,1738.8895294420502
8,0.08,1738.8895294420502
9,0.09,1759.8819131872033
10,0.1,1759.8819131872033
11,0.11,1759.8819131872033
12,0.12,1921.7702017446443
13,0.13,1921.7702017446443
14,0.14,1921.7702017446443
15,0.15,2472.542133830403
16,0.16,2472.542133830403
17,0.17,2472.542133830403
18,0.18,2487.421986511837
19,0.19,2487.421986511837
20,0.2,2487.421986511837
21,0.21,2620.1900274026284
22,0.22,2620.1900274026284
23,0.23,2620.1900274026284
24,0.24,2694.59214169446
25,0.25,2694.59214169446
26,0.26,2694.59214169446
27,0.27,2754.530088729947
28,0.28,2754.530088729947
29,0.29,2754.530088729947
30,0.3,3026.0159692116044
31,0.31,3026.0159692116044
32,0.32,3026.0159692116044
33,0.33,3032.074059240056
34,0.34,3032.074059240056
35,0.35000000000000003,3032.074059240056
36,0.36,4158.884955021983
37,0.37,4158.884955021983
38,0.38,4158.884955021983
39,0.39,4328.6123275283735
40,0.4,4328.6123275283735
41,0.41000000000000003,4328.6123275283735
42,0.42,4478.315733308702
43,0.43,4478.315733308702
44,0.44,4478.315733308702
45,0.45,4929.546792611982
46,0.46,4929.546792611982
47,0.47000000000000003,4929.546792611982
48,0.48,5535.860913644395
49,0.49,5535.860913644395
50,0.5,5784.877058719922
51,0.51,5784.877058719922
52,0.52,5784.877058719922
53,0.53,6317.0172208148515
54,0.54,6317.0172208148515
55,0.55,6317.0172208148515
56,0.56,8078.831292220465
57,0.5700000000000001,8078.831292220465
58,0.58,8078.831292220465
59,0.59,8647.300944251141
60,0.6,8647.300944251141
61,0.61,8647.300944251141
62,0.62,10519.674944490172
63,0.63,10519.674944490172
64,0.64,10519.674944490172
65,0.65,10710.743616399746
66,0.66,10710.743616399746
67,0.67,10710.743616399746
68,0.68,10753.672405514788
69,0.6900000000000001,10753.672405514788
70,0.7000000000000001,10753.672405514788
71,0.71,11125.584062632563
72,0.72,11125.584062632563
73,0.73,11125.584062632563
74,0.74,11649.314557555801
75,0.75,11649.314557555801
76,0.76,11649.314557555801
77,0.77,15290.740248793241
78,0.78,15290.740248793241
79,0.79,15290.740248793241
80,0.8,16366.678274246637
81,0.81,16366.678274246637
82,0.8200000000000001,16366.678274246637
83,0.8300000000000001,19091.5820337785
84,0.84,19091.5820337785
85,0.85,19091.5820337785
86,0.86,21568.793989268142
87,0.87,21568.793989268142
88,0.88,21568.793989268142
89,0.89,23132.708553040386
90,0.9,23132.708553040386
91,0.91,23132.708553040386
92,0.92,28254.35591402368
93,0.93,28254.35591402368
94,0.9400000000000001,28254.35591402368
95,0.9500000000000001,28710.061685033208
96,0.96,28710.061685033208
97,0.97,28710.061685033208
98,0.98,30363.695304815665
99,0.99,30363.695304815665
100,1.0,30546.425178987578
