Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8724.20000,4861.01396,22225.66178,28710.06169
1221.34286,1270.29176,1621.32981,1831.70408
9945.54286,5784.87706,23132.70855,30363.69530
0.01084,0.01075,0.01146,0.01157
65.28483,64.52165,81.20696,87.09513
0.01085,0.01501,0.01600,0.03102
78.53971,77.55605,98.39609,101.59568
0.07160,0.06528,0.10721,0.12185
16.54417,15.31757,21.99908,29.40018
0.52028,0.52361,0.65639,0.68866
0.54802,0.49708,0.86502,0.99501
