,cdf,Number of Output Tokens
0,0.0,24.022732262610404
1,0.01,24.022732262610404
2,0.02,107.01842946992822
3,0.03,107.01842946992822
4,0.04,171.91518000381075
5,0.05,242.9853931404834
6,0.06,242.9853931404834
7,0.07,271.239275749995
8,0.08,271.239275749995
9,0.09,299.7657693909941
10,0.1,302.7784664687497
11,0.11,302.7784664687497
12,0.12,310.13305415077633
13,0.13,310.13305415077633
14,0.14,315.7659953856089
15,0.15,315.7659953856089
16,0.16,315.7659953856089
17,0.17,318.3022557086943
18,0.18,318.3022557086943
19,0.19,335.96313577909575
20,0.2,338.66162131505564
21,0.21,338.66162131505564
22,0.22,344.8127264160081
23,0.23,351.07555393125693
24,0.24,351.07555393125693
25,0.25,375.0282947038467
26,0.26,375.0282947038467
27,0.27,387.2232833968323
28,0.28,394.2564131162876
29,0.29,394.2564131162876
30,0.3,400.6152529093913
31,0.31,400.6152529093913
32,0.32,406.2633124985649
33,0.33,410.3463280371647
34,0.34,410.3463280371647
35,0.35000000000000003,415.3001491055654
36,0.36,415.3001491055654
37,0.37,421.9983968102526
38,0.38,433.9813341629187
39,0.39,433.9813341629187
40,0.4,433.9813341629187
41,0.41000000000000003,439.2204839483025
42,0.42,439.2204839483025
43,0.43,477.7089024707267
44,0.44,477.7089024707267
45,0.45,477.7089024707267
46,0.46,525.8424211722349
47,0.47000000000000003,525.8424211722349
48,0.48,555.018588697581
49,0.49,555.018588697581
50,0.5,652.6243268853126
51,0.51,655.240053029416
52,0.52,655.240053029416
53,0.53,770.4707684837989
54,0.54,770.4707684837989
55,0.55,813.2200471832107
56,0.56,841.3449522337122
57,0.5700000000000001,841.3449522337122
58,0.58,937.2984808710172
59,0.59,937.2984808710172
60,0.6,1042.1089926699406
61,0.61,1067.422159917951
62,0.62,1067.422159917951
63,0.63,1110.98449946745
64,0.64,1119.908024947517
65,0.65,1119.908024947517
66,0.66,1201.1105470343932
67,0.67,1201.1105470343932
68,0.68,1210.7579728769483
69,0.6900000000000001,1210.7579728769483
70,0.7000000000000001,1210.7579728769483
71,0.71,1213.1819127625865
72,0.72,1213.1819127625865
73,0.73,1346.147248963189
74,0.74,1384.3720343503305
75,0.75,1384.3720343503305
76,0.76,1403.8895531837034
77,0.77,1403.8895531837034
78,0.78,1533.0307616850064
79,0.79,1738.8895294420502
80,0.8,1738.8895294420502
81,0.81,1813.478314801337
82,0.8200000000000001,1817.1089020181566
83,0.8300000000000001,1817.1089020181566
84,0.84,1879.952920082763
85,0.85,1879.952920082763
86,0.86,1937.2060294905089
87,0.87,1992.2143391572147
88,0.88,1992.2143391572147
89,0.89,2188.5665468122234
90,0.9,2188.5665468122234
91,0.91,2255.2183435738443
92,0.92,2356.6634100198303
93,0.93,2356.6634100198303
94,0.9400000000000001,2404.271184922738
95,0.9500000000000001,2404.271184922738
96,0.96,2537.6712607692084
97,0.97,2630.6917805167145
98,0.98,2630.6917805167145
99,0.99,4125.746594515506
100,1.0,8821.988069752932
