,cdf,Number of Total Tokens
0,0.0,1270.2917561673153
1,0.01,1270.2917561673153
2,0.02,1759.8819131872033
3,0.03,1759.8819131872033
4,0.04,1842.727345859427
5,0.05,2012.2364328406775
6,0.06,2012.2364328406775
7,0.07,2024.3461482915104
8,0.08,2024.3461482915104
9,0.09,2061.1143119543917
10,0.1,2069.375282883096
11,0.11,2069.375282883096
12,0.12,2210.5620136510524
13,0.13,2210.5620136510524
14,0.14,2210.5620136510524
15,0.15,2389.8887434906615
16,0.16,2389.8887434906615
17,0.17,2443.0489315248965
18,0.18,2443.0489315248965
19,0.19,2537.6712607692084
20,0.2,2683.8352975727694
21,0.21,2683.8352975727694
22,0.22,2838.4180472273547
23,0.23,2972.0349504213505
24,0.24,2972.0349504213505
25,0.25,2977.984970342114
26,0.26,2977.984970342114
27,0.27,3093.326038919255
28,0.28,3226.0126921290625
29,0.29,3226.0126921290625
30,0.3,3291.182493394624
31,0.31,3291.182493394624
32,0.32,3995.812690157074
33,0.33,4689.129880433426
34,0.34,4689.129880433426
35,0.35000000000000003,4736.256434998679
36,0.36,4736.256434998679
37,0.37,5059.395774521718
38,0.38,5192.665102928268
39,0.39,5192.665102928268
40,0.4,5383.006702416105
41,0.41000000000000003,5524.800252478271
42,0.42,5524.800252478271
43,0.43,5727.316551153974
44,0.44,5727.316551153974
45,0.45,5727.316551153974
46,0.46,6342.335901741285
47,0.47000000000000003,6342.335901741285
48,0.48,6680.862905567588
49,0.49,6680.862905567588
50,0.5,6775.052808532365
51,0.51,6775.052808532365
52,0.52,6775.052808532365
53,0.53,7065.665266182624
54,0.54,7065.665266182624
55,0.55,7237.292579505296
56,0.56,7339.327286013526
57,0.5700000000000001,7339.327286013526
58,0.58,7547.732577938266
59,0.59,7547.732577938266
60,0.6,8127.450006466667
61,0.61,9461.654600509188
62,0.62,9461.654600509188
63,0.63,9847.792181200908
64,0.64,9847.792181200908
65,0.65,9847.792181200908
66,0.66,10006.624176604799
67,0.67,10006.624176604799
68,0.68,10208.77146217486
69,0.6900000000000001,10208.77146217486
70,0.7000000000000001,10208.77146217486
71,0.71,10332.014741562096
72,0.72,10332.014741562096
73,0.73,12369.66818680915
74,0.74,13187.209510486551
75,0.75,13187.209510486551
76,0.76,14228.505879841674
77,0.77,14228.505879841674
78,0.78,15260.189319225223
79,0.79,17448.39167338199
80,0.8,17448.39167338199
81,0.81,18124.189624212206
82,0.8200000000000001,19283.45568739728
83,0.8300000000000001,19283.45568739728
84,0.84,20640.342463225817
85,0.85,20640.342463225817
86,0.86,22629.34608634873
87,0.87,24367.43447077329
88,0.88,24367.43447077329
89,0.89,25311.215570521275
90,0.9,25311.215570521275
91,0.91,26134.273435880415
92,0.92,27255.289854016726
93,0.93,27255.289854016726
94,0.9400000000000001,27917.329732110593
95,0.9500000000000001,27917.329732110593
96,0.96,28197.9036544552
97,0.97,29173.11739353072
98,0.98,29173.11739353072
99,0.99,29407.43844528166
100,1.0,29643.641584385587
