Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
8995.41935,4861.01396,24909.45861,28998.60270
1106.87097,652.62433,2188.56655,4125.74659
10102.29032,6775.05281,25311.21557,29407.43845
0.00672,0.00672,0.00701,0.00716
37.12840,34.15813,55.31261,93.97239
0.00669,0.00000,0.01600,0.01600
44.55042,40.32617,71.16499,97.61206
0.10839,0.04665,0.17605,0.32078
25.10551,19.78651,46.66530,71.45022
0.47713,0.44441,0.77182,0.86329
1.02104,0.36604,1.54188,3.04347
