,cdf,Number of Output Tokens
0,0.0,1.9997051226201907
1,0.01,1.9997051226201907
2,0.02,28.991440241586453
3,0.03,28.991440241586453
4,0.04,31.976480717732706
5,0.05,31.976480717732706
6,0.06,98.98823767054662
7,0.07,148.8592409254445
8,0.08,148.8592409254445
9,0.09,253.9154520515322
10,0.1,253.9154520515322
11,0.11,277.8277662050077
12,0.12,277.8277662050077
13,0.13,300.96723419670434
14,0.14,318.9394974618649
15,0.15,318.9394974618649
16,0.16,335.2918807625545
17,0.17,335.2918807625545
18,0.18,340.6996998436576
19,0.19,369.0755886433958
20,0.2,369.0755886433958
21,0.21,407.07665246352707
22,0.22,407.07665246352707
23,0.23,422.8432384455084
24,0.24,422.8432384455084
25,0.25,432.24887547609933
26,0.26,433.1142385901656
27,0.27,433.1142385901656
28,0.28,433.9813341629187
29,0.29,433.9813341629187
30,0.3,436.5930503518891
31,0.31,436.5930503518891
32,0.32,436.5930503518891
33,0.33,440.09980423648733
34,0.34,440.09980423648733
35,0.35000000000000003,449.8892927265958
36,0.36,449.8892927265958
37,0.37,452.5967436157564
38,0.38,465.448542261823
39,0.39,465.448542261823
40,0.4,481.5459025056475
41,0.41000000000000003,481.5459025056475
42,0.42,496.21116350579666
43,0.43,496.21116350579666
44,0.44,516.4619321375374
45,0.45,555.018588697581
46,0.46,555.018588697581
47,0.47000000000000003,591.701111204794
48,0.48,591.701111204794
49,0.49,633.3363567775858
50,0.5,660.5029989225147
51,0.51,660.5029989225147
52,0.52,668.4767845963271
53,0.53,668.4767845963271
54,0.54,694.3677234097261
55,0.55,694.3677234097261
56,0.56,732.8944534845522
57,0.5700000000000001,740.2601676646667
58,0.58,740.2601676646667
59,0.59,744.715081532492
60,0.6,744.715081532492
61,0.61,747.6999085277857
62,0.62,747.6999085277857
63,0.63,767.3950399426743
64,0.64,781.3332226227999
65,0.65,781.3332226227999
66,0.66,816.4794429039895
67,0.67,816.4794429039895
68,0.68,843.0293265124575
69,0.6900000000000001,854.9147448458432
70,0.7000000000000001,854.9147448458432
71,0.71,861.7814954733949
72,0.72,861.7814954733949
73,0.73,902.3493655824246
74,0.74,902.3493655824246
75,0.75,913.2427914348316
76,0.76,937.2984808710172
77,0.77,937.2984808710172
78,0.78,1058.9168464191357
79,0.79,1058.9168464191357
80,0.8,1095.5390815264377
81,0.81,1095.5390815264377
82,0.8200000000000001,1095.5390815264377
83,0.8300000000000001,1147.1109560586433
84,0.84,1147.1109560586433
85,0.85,1182.0456974388467
86,0.86,1182.0456974388467
87,0.87,1262.692822694545
88,0.88,1295.9533605065296
89,0.89,1295.9533605065296
90,0.9,1435.1173803492215
91,0.91,1435.1173803492215
92,0.92,1523.860113514461
93,0.93,1523.860113514461
94,0.9400000000000001,1718.1475489608877
95,0.9500000000000001,1835.3711562114765
96,0.96,1835.3711562114765
97,0.97,1929.4726798052664
98,0.98,1929.4726798052664
99,0.99,2399.4674462915236
100,1.0,2457.751292992164
