,cdf,Number of Prompt Tokens
0,0.0,981.4212697973203
1,0.01,981.4212697973203
2,0.02,989.3041319901912
3,0.03,989.3041319901912
4,0.04,999.2468071445744
5,0.05,999.2468071445744
6,0.06,1001.2473012529721
7,0.07,1015.3633499553291
8,0.08,1015.3633499553291
9,0.09,1027.6211137305045
10,0.1,1027.6211137305045
11,0.11,1073.8459471089386
12,0.12,1073.8459471089386
13,0.13,1097.732352960925
14,0.14,1174.9746552369265
15,0.15,1174.9746552369265
16,0.16,1247.6310551477372
17,0.17,1247.6310551477372
18,0.18,1324.780277456438
19,0.19,1324.780277456438
20,0.2,1324.780277456438
21,0.21,1403.8895531837034
22,0.22,1403.8895531837034
23,0.23,1472.9197460836535
24,0.24,1472.9197460836535
25,0.25,1484.7503673844674
26,0.26,1493.6856516140465
27,0.27,1493.6856516140465
28,0.28,1570.2685787845928
29,0.29,1570.2685787845928
30,0.3,1595.5949552047311
31,0.31,1595.5949552047311
32,0.32,1690.8759338004254
33,0.33,2115.4060361769884
34,0.34,2115.4060361769884
35,0.35000000000000003,2482.452112412912
36,0.36,2482.452112412912
37,0.37,2497.391603722689
38,0.38,2651.82172890474
39,0.39,2651.82172890474
40,0.4,2657.130681314961
41,0.41000000000000003,2657.130681314961
42,0.42,2749.0265321091074
43,0.43,2749.0265321091074
44,0.44,3586.751611728787
45,0.45,3733.1297716143254
46,0.46,3733.1297716143254
47,0.47000000000000003,4861.0139638388
48,0.48,4861.0139638388
49,0.49,5039.198605957926
50,0.5,5404.581857961706
51,0.51,5404.581857961706
52,0.52,6393.278103049647
53,0.53,6393.278103049647
54,0.54,6911.918000096232
55,0.55,6911.918000096232
56,0.56,7065.665266182624
57,0.5700000000000001,7208.40122079606
58,0.58,7208.40122079606
59,0.59,7855.76149258458
60,0.6,7855.76149258458
61,0.61,9348.793230237878
62,0.62,9348.793230237878
63,0.63,9537.651444706136
64,0.64,9556.745841992824
65,0.65,9556.745841992824
66,0.66,9652.79276666178
67,0.67,9652.79276666178
68,0.68,9887.26225059443
69,0.6900000000000001,10026.657458239642
70,0.7000000000000001,10026.657458239642
71,0.71,11980.10492927245
72,0.72,11980.10492927245
73,0.73,12874.484093675683
74,0.74,12874.484093675683
75,0.75,13918.896834251875
76,0.76,15017.969138169508
77,0.77,15017.969138169508
78,0.78,17137.130276098
79,0.79,17137.130276098
80,0.8,17659.03376854769
81,0.81,17659.03376854769
82,0.8200000000000001,18901.61755554557
83,0.8300000000000001,20231.636164173382
84,0.84,20231.636164173382
85,0.85,22225.661780407474
86,0.86,22225.661780407474
87,0.87,23980.657854447956
88,0.88,24909.458613908162
89,0.89,24909.458613908162
90,0.9,25719.45234087454
91,0.91,25719.45234087454
92,0.92,26876.374267795218
93,0.93,26876.374267795218
94,0.9400000000000001,27529.21016274113
95,0.9500000000000001,27694.881997430202
96,0.96,27694.881997430202
97,0.97,28710.061685033208
98,0.98,28710.061685033208
99,0.99,28998.602698626644
100,1.0,28998.602698626644
