Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9297.23729,5404.58186,25719.45234,28998.60270
757.52542,660.50300,1435.11738,2399.46745
10054.76271,6266.68267,25977.93722,29231.52203
0.00971,0.00976,0.01012,0.01035
39.14990,38.20631,54.10902,66.35379
0.00979,0.01501,0.01600,0.03102
46.58444,45.64987,63.24404,72.45755
0.37333,0.07229,0.19417,0.86329
16.47194,13.83222,29.93417,46.20097
0.55144,0.55711,0.78427,0.94459
169491526.37056,0.56609,1.63068,8.20710
