,cdf,Number of Output Tokens
0,0.0,4.997811098765265
1,0.01,4.997811098765265
2,0.02,4.997811098765265
3,0.03,342.0652283344854
4,0.04,342.0652283344854
5,0.05,445.4128179847865
6,0.06,445.4128179847865
7,0.07,445.4128179847865
8,0.08,490.2922123052143
9,0.09,490.2922123052143
10,0.1,698.5464548010785
11,0.11,698.5464548010785
12,0.12,698.5464548010785
13,0.13,728.5102510621144
14,0.14,728.5102510621144
15,0.15,731.4301289021654
16,0.16,731.4301289021654
17,0.17,731.4301289021654
18,0.18,773.5588245818743
19,0.19,773.5588245818743
20,0.2,829.6481874039241
21,0.21,829.6481874039241
22,0.22,915.0711053315981
23,0.23,915.0711053315981
24,0.24,915.0711053315981
25,0.25,931.6915258028704
26,0.26,931.6915258028704
27,0.27,1007.2728456254948
28,0.28,1007.2728456254948
29,0.29,1007.2728456254948
30,0.3,1031.7398315022524
31,0.31,1031.7398315022524
32,0.32,1033.8053767104652
33,0.33,1033.8053767104652
34,0.34,1033.8053767104652
35,0.35000000000000003,1069.5591412190881
36,0.36,1069.5591412190881
37,0.37,1184.4121552915772
38,0.38,1184.4121552915772
39,0.39,1184.4121552915772
40,0.4,1222.9262968792727
41,0.41000000000000003,1222.9262968792727
42,0.42,1280.49485158288
43,0.43,1280.49485158288
44,0.44,1285.6270903344746
45,0.45,1285.6270903344746
46,0.46,1285.6270903344746
47,0.47000000000000003,1290.7798991606564
48,0.48,1290.7798991606564
49,0.49,1354.2484143500285
50,0.5,1354.2484143500285
51,0.51,1354.2484143500285
52,0.52,1398.2852092631533
53,0.53,1398.2852092631533
54,0.54,1412.3382139553664
55,0.55,1412.3382139553664
56,0.56,1412.3382139553664
57,0.5700000000000001,1426.532453740085
58,0.58,1426.532453740085
59,0.59,1426.532453740085
60,0.6,1426.532453740085
61,0.61,1429.3883745683936
62,0.62,1429.3883745683936
63,0.63,1429.3883745683936
64,0.64,1478.82322612459
65,0.65,1478.82322612459
66,0.66,1484.7503673844674
67,0.67,1484.7503673844674
68,0.68,1484.7503673844674
69,0.6900000000000001,1520.8154379629837
70,0.7000000000000001,1520.8154379629837
71,0.71,1526.9108845124883
72,0.72,1526.9108845124883
73,0.73,1526.9108845124883
74,0.74,1573.4122596230004
75,0.75,1573.4122596230004
76,0.76,1640.902981332246
77,0.77,1640.902981332246
78,0.78,1640.902981332246
79,0.79,1650.7779979366824
80,0.8,1650.7779979366824
81,0.81,1697.652984860695
82,0.8200000000000001,1697.652984860695
83,0.8300000000000001,1728.4874263137149
84,0.84,1728.4874263137149
85,0.85,1728.4874263137149
86,0.86,1806.2388876358893
87,0.87,1806.2388876358893
88,0.88,1831.704080974291
89,0.89,1831.704080974291
90,0.9,1831.704080974291
91,0.91,1861.2470697800413
92,0.92,1861.2470697800413
93,0.93,1868.7069704005019
94,0.9400000000000001,1868.7069704005019
95,0.9500000000000001,1868.7069704005019
96,0.96,2375.5923383688164
97,0.97,2375.5923383688164
98,0.98,2919.016897596674
99,0.99,2919.016897596674
100,1.0,4541.453104981816
