,cdf,Number of Total Tokens
0,0.0,1714.7146867252013
1,0.01,1714.7146867252013
2,0.02,1714.7146867252013
3,0.03,1718.1475489608877
4,0.04,1718.1475489608877
5,0.05,1745.8590195705833
6,0.06,1745.8590195705833
7,0.07,1745.8590195705833
8,0.08,1752.8564434992995
9,0.09,1752.8564434992995
10,0.1,1813.478314801337
11,0.11,1813.478314801337
12,0.12,1813.478314801337
13,0.13,1917.9305010418577
14,0.14,1917.9305010418577
15,0.15,1941.084319839839
16,0.16,1941.084319839839
17,0.17,1941.084319839839
18,0.18,2356.6634100198303
19,0.19,2356.6634100198303
20,0.2,2487.421986511837
21,0.21,2487.421986511837
22,0.22,2502.391386713125
23,0.23,2502.391386713125
24,0.24,2502.391386713125
25,0.25,2872.684261306917
26,0.26,2872.684261306917
27,0.27,2960.170551282342
28,0.28,2960.170551282342
29,0.29,2960.170551282342
30,0.3,3001.904408259428
31,0.31,3001.904408259428
32,0.32,3044.22664850295
33,0.33,3044.22664850295
34,0.34,3044.22664850295
35,0.35000000000000003,3384.6379044403493
36,0.36,3384.6379044403493
37,0.37,3601.127355287071
38,0.38,3601.127355287071
39,0.39,3601.127355287071
40,0.4,3940.261062710372
41,0.41000000000000003,3940.261062710372
42,0.42,5925.393608837577
43,0.43,5925.393608837577
44,0.44,6105.8487707443965
45,0.45,6105.8487707443965
46,0.46,6105.8487707443965
47,0.47000000000000003,6694.238006479635
48,0.48,6694.238006479635
49,0.49,7295.423151777802
50,0.5,7295.423151777802
51,0.51,7295.423151777802
52,0.52,8734.207792681997
53,0.53,8734.207792681997
54,0.54,8946.364548059943
55,0.55,8946.364548059943
56,0.56,8946.364548059943
57,0.5700000000000001,9255.771152499778
58,0.58,9255.771152499778
59,0.59,9311.472735626641
60,0.6,9311.472735626641
61,0.61,10992.87485738322
62,0.62,10992.87485738322
63,0.63,10992.87485738322
64,0.64,11282.437705357746
65,0.65,11282.437705357746
66,0.66,13399.90193553163
67,0.67,13399.90193553163
68,0.68,13399.90193553163
69,0.6900000000000001,14171.705513854646
70,0.7000000000000001,14171.705513854646
71,0.71,14958.017225394291
72,0.72,14958.017225394291
73,0.73,14958.017225394291
74,0.74,16597.423293310316
75,0.75,16597.423293310316
76,0.76,19712.392864110647
77,0.77,19712.392864110647
78,0.78,19712.392864110647
79,0.79,21141.70311216259
80,0.8,21141.70311216259
81,0.81,23932.744452141396
82,0.8200000000000001,23932.744452141396
83,0.8300000000000001,25159.80291882018
84,0.84,25159.80291882018
85,0.85,25159.80291882018
86,0.86,26134.273435880415
87,0.87,26134.273435880415
88,0.88,28310.921191128833
89,0.89,28310.921191128833
90,0.9,28310.921191128833
91,0.91,28998.602698626644
92,0.92,28998.602698626644
93,0.93,29114.829446690535
94,0.9400000000000001,29114.829446690535
95,0.9500000000000001,29114.829446690535
96,0.96,30303.028580929913
97,0.97,30303.028580929913
98,0.98,30546.425178987578
99,0.99,30546.425178987578
100,1.0,30791.776759986566
