Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
10079.57143,5039.19861,26876.37427,28998.60270
1362.92857,1354.24841,1831.70408,2919.01690
11442.50000,7295.42315,28310.92119,30546.42518
0.02076,0.01723,0.01916,0.02096
47.23952,50.65312,66.61974,78.49233
0.01734,0.01600,0.03102,0.06298
70.88426,74.36616,91.19509,111.38594
0.32241,0.05135,0.07879,0.11136
19.76969,19.16337,25.91963,37.90188
0.42042,0.39732,0.54936,0.64856
238095238.43210,0.29790,0.54826,0.83443
