ttft,prompt_length,prompt_length_bin,prompt_length_bin_mid
44.75,981,"(952.965, 986.607]",969.7860000000001
56.73399999999674,990,"(986.607, 992.214]",989.4105
64.34300000000803,1016,"(1014.642, 1020.249]",1017.4455
8.531000000002678,1027,"(1025.856, 1031.463]",1028.6595
43.078999999997905,1098,"(1093.14, 1098.747]",1095.9435
58.23399999999674,1176,"(1171.638, 1177.245]",1174.4415
20.047000000005937,1325,"(1323.027, 1328.634]",1325.8305
9.312000000005355,1325,"(1323.027, 1328.634]",1325.8305
8.764999999999418,1405,"(1401.525, 1407.132]",1404.3285
38.17200000000594,1474,"(1468.809, 1474.416]",1471.6125
32.76599999998871,1484,"(1480.023, 1485.63]",1482.8265000000001
82.28100000000268,1493,"(1491.237, 1496.844]",1494.0405
36.812999999994645,1691,"(1687.482, 1693.089]",1690.2855
66.63999999999942,2115,"(2113.614, 2119.221]",2116.4175
55.5,2484,"(2483.676, 2489.283]",2486.4795
42.671999999991385,2650,"(2646.279, 2651.886]",2649.0825
15.01600000000326,2655,"(2651.886, 2657.493]",2654.6895
60.171000000002095,2749,"(2747.205, 2752.812]",2750.0085
10.28200000000652,3731,"(3728.43, 3734.037]",3731.2335
46.1880000000092,4861,"(4855.437, 4861.044]",4858.2405
64.07799999999406,5042,"(5040.468, 5046.075]",5043.2715
64.625,6387,"(6386.148, 6391.755]",6388.9515
51.85899999999674,7072,"(7070.202, 7075.809]",7073.0055
43.437999999994645,7206,"(7204.77, 7210.377]",7207.5735
62.21800000000803,7860,"(7855.182, 7860.789]",7857.9855
40.01600000000326,9564,"(9559.71, 9565.317]",9562.5135
45.546000000002095,9650,"(9649.422, 9655.029]",9652.2255
50.625,11978,"(11976.327, 11981.934]",11979.1305
52.86000000000058,12880,"(12879.054, 12884.661]",12881.8575
60.328000000008615,13921,"(13916.349, 13921.956]",13919.1525
55.703000000008615,15020,"(15015.321, 15020.928]",15018.1245
25.828000000008615,18892,"(18889.758, 18895.365]",18892.561500000003
47.65600000000268,20230,"(20229.831, 20235.438]",20232.6345
54.0,22204,"(22203.495, 22209.102]",22206.298499999997
68.90600000000268,23972,"(23969.7, 23975.307]",23972.5035
54.51499999999942,24900,"(24894.855, 24900.462]",24897.658499999998
68.25,26900,"(26896.554, 26902.161]",26899.3575
31.093999999997322,27543,"(27541.359, 27546.966]",27544.1625
66.71899999999732,27669,"(27664.713, 27670.32]",27667.516499999998
43.85900000001129,28713,"(28707.615, 28713.222]",28710.4185
78.56299999999464,28993,"(28987.965, 28993.572]",28990.7685
53.078000000008615,29016,"(29010.393, 29016.0]",29013.1965
