ttft,prompt_length
44.75,981
56.73399999999674,990
64.34300000000803,1016
8.531000000002678,1027
43.078999999997905,1098
58.23399999999674,1176
20.047000000005937,1325
9.312000000005355,1325
8.764999999999418,1405
38.17200000000594,1474
32.76599999998871,1484
82.28100000000268,1493
36.812999999994645,1691
66.63999999999942,2115
55.5,2484
42.671999999991385,2650
15.01600000000326,2655
60.171000000002095,2749
10.28200000000652,3731
46.1880000000092,4861
64.07799999999406,5042
64.625,6387
51.85899999999674,7072
43.437999999994645,7206
62.21800000000803,7860
40.01600000000326,9564
45.546000000002095,9650
50.625,11978
52.86000000000058,12880
60.328000000008615,13921
55.703000000008615,15020
25.828000000008615,18892
47.65600000000268,20230
54.0,22204
68.90600000000268,23972
54.51499999999942,24900
68.25,26900
31.093999999997322,27543
66.71899999999732,27669
43.85900000001129,28713
78.56299999999464,28993
53.078000000008615,29016
