,cdf,Number of Output Tokens
0,0.0,31.976480717732706
1,0.01,31.976480717732706
2,0.02,45.0152251403878
3,0.03,61.007747867799274
4,0.04,71.02279778045839
5,0.05,74.06928470764261
6,0.06,74.06928470764261
7,0.07,76.93808039734769
8,0.08,83.01331137924744
9,0.09,177.15077846187063
10,0.1,188.85910238188015
11,0.11,191.90515245376974
12,0.12,191.90515245376974
13,0.13,193.0600449663177
14,0.14,227.0116433221731
15,0.15,242.01539253912478
16,0.16,271.239275749995
17,0.17,296.78304915996756
18,0.18,296.78304915996756
19,0.19,308.2778264562278
20,0.2,317.031589289365
21,0.21,326.0339212934337
22,0.22,375.7791021006508
23,0.23,384.9068990265854
24,0.24,384.9068990265854
25,0.25,388.77527896956957
26,0.26,391.89795629726297
27,0.27,408.7082205780416
28,0.28,415.3001491055654
29,0.29,416.9646770934355
30,0.3,416.9646770934355
31,0.31,421.9983968102526
32,0.32,425.3879251504675
33,0.33,429.6631463060288
34,0.34,433.1142385901656
35,0.35000000000000003,447.19803791135894
36,0.36,447.19803791135894
37,0.37,497.2045792485511
38,0.38,505.2238381842498
39,0.39,506.23529731975384
40,0.4,510.3014238739115
41,0.41000000000000003,519.5700197048338
42,0.42,519.5700197048338
43,0.43,549.4960596360836
44,0.44,551.6984464458608
45,0.45,578.8258298603147
46,0.46,595.2619910157795
47,0.47000000000000003,620.795452531684
48,0.48,620.795452531684
49,0.49,624.531423196283
50,0.5,632.0709494713368
51,0.51,698.5464548010785
52,0.52,732.8944534845522
53,0.53,732.8944534845522
54,0.54,749.196805241555
55,0.55,770.4707684837989
56,0.56,772.0132525047875
57,0.5700000000000001,797.1172060413226
58,0.58,837.9862931017004
59,0.59,837.9862931017004
60,0.6,843.0293265124575
61,0.61,844.7170729118819
62,0.62,889.8044893155575
63,0.63,898.7471761012466
64,0.64,900.5464697470951
65,0.65,900.5464697470951
66,0.66,913.2427914348316
67,0.67,922.4210371519016
68,0.68,946.7184903672372
69,0.6900000000000001,971.6559617618789
70,0.7000000000000001,979.4603881393836
71,0.71,979.4603881393836
72,0.72,985.3548180394457
73,0.73,1005.2603124674017
74,0.74,1021.4738452462856
75,0.75,1040.0268568204501
76,0.76,1054.6896376781497
77,0.77,1054.6896376781497
78,0.78,1056.801128444272
79,0.79,1065.2894483097232
80,0.8,1073.8459471089386
81,0.81,1091.1656763840217
82,0.8200000000000001,1110.98449946745
83,0.8300000000000001,1110.98449946745
84,0.84,1147.1109560586433
85,0.85,1156.3246524241297
86,0.86,1225.374597773926
87,0.87,1237.689821347885
88,0.88,1348.8422384506027
89,0.89,1348.8422384506027
90,0.9,1446.6443697145764
91,0.91,1548.4379821465739
92,0.92,1770.472949532609
93,0.93,2008.215980427409
94,0.9400000000000001,2106.9613099295016
95,0.9500000000000001,2106.9613099295016
96,0.96,2162.4606879712273
97,0.97,2328.552442863115
98,0.98,2699.986720556711
99,0.99,2771.1069556581483
100,1.0,3155.8153910838614
