,cdf,Number of Total Tokens
0,0.0,1647.479740198547
1,0.01,1647.479740198547
2,0.02,1831.704080974291
3,0.03,1868.7069704005019
4,0.04,1988.2338909271302
5,0.05,1988.2338909271302
6,0.06,1988.2338909271302
7,0.07,1996.2027562526248
8,0.08,2012.2364328406775
9,0.09,2077.669363882547
10,0.1,2136.6662274136484
11,0.11,2149.5247661047792
12,0.12,2149.5247661047792
13,0.13,2171.1278563927876
14,0.14,2228.3174426993805
15,0.15,2291.5920629812344
16,0.16,2328.552442863115
17,0.17,2399.4674462915236
18,0.18,2399.4674462915236
19,0.19,2583.7629394662035
20,0.2,2588.9356380437134
21,0.21,2641.235624783471
22,0.22,2651.82172890474
23,0.23,2754.530088729947
24,0.24,2754.530088729947
25,0.25,2771.1069556581483
26,0.26,2782.2135856341033
27,0.27,3087.1455673130226
28,0.28,3093.326038919255
29,0.29,3206.714561828855
30,0.3,3206.714561828855
31,0.31,3258.434669562063
32,0.32,3264.9580622939193
33,0.33,3418.6540922949007
34,0.34,3515.7291478592115
35,0.35000000000000003,3725.670970871839
36,0.36,3725.670970871839
37,0.37,3770.6483621347684
38,0.38,3862.2386404027006
39,0.39,4027.9074100845655
40,0.4,4442.632120312139
41,0.41000000000000003,4633.196574259114
42,0.42,4633.196574259114
43,0.43,4642.47224307645
44,0.44,4979.089578123934
45,0.45,5039.198605957926
46,0.46,5049.28709165554
47,0.47000000000000003,5234.373046988384
48,0.48,5234.373046988384
49,0.49,5535.860913644395
50,0.5,5558.048710705299
51,0.51,5636.408658534569
52,0.52,5925.393608837577
53,0.53,5925.393608837577
54,0.54,6898.107974122014
55,0.55,6981.383954140566
56,0.56,7310.028603533114
57,0.5700000000000001,7593.155119905059
58,0.58,7808.76802933469
59,0.59,7808.76802933469
60,0.6,8358.23459001144
61,0.61,9710.88364097575
62,0.62,9926.890516500356
63,0.63,9946.764171188044
64,0.64,10168.017924155734
65,0.65,10168.017924155734
66,0.66,10229.209443080117
67,0.67,10477.68027604377
68,0.68,10861.748646164475
69,0.6900000000000001,12874.484093675683
70,0.7000000000000001,13213.610330327367
71,0.71,13213.610330327367
72,0.72,14086.92983387986
73,0.73,14115.131895609333
74,0.74,15199.27046058446
75,0.75,15444.414794615628
76,0.76,17000.58011727475
77,0.77,17000.58011727475
78,0.78,17413.529751956652
79,0.79,17448.39167338199
80,0.8,17694.387189505742
81,0.81,19015.368209505752
82,0.8200000000000001,19516.251212856812
83,0.8300000000000001,19516.251212856812
84,0.84,19712.392864110647
85,0.85,20272.139940277837
86,0.86,20353.39092074889
87,0.87,22404.18025596129
88,0.88,22765.530352507358
89,0.89,22765.530352507358
90,0.9,24416.21812336743
91,0.91,24959.327399921996
92,0.92,26291.550488247474
93,0.93,27419.313225860853
94,0.9400000000000001,27973.22028212483
95,0.9500000000000001,27973.22028212483
96,0.96,28085.337285142366
97,0.97,29114.829446690535
98,0.98,29173.11739353072
99,0.99,29290.04359858876
100,1.0,30730.254728498076
