ttft,prompt_length,prompt_length_bin,prompt_length_bin_mid
29.422000000005937,975,"(945.735, 980.853]",963.294
31.375,981,"(980.853, 986.706]",983.7795
27.875,990,"(986.706, 992.559]",989.6324999999999
22.125,1000,"(998.412, 1004.265]",1001.3385000000001
31.281000000002678,1001,"(998.412, 1004.265]",1001.3385000000001
27.453000000008615,1016,"(1015.971, 1021.824]",1018.8975
20.639999999999418,1027,"(1021.824, 1027.677]",1024.7504999999999
28.827999999994063,1043,"(1039.383, 1045.236]",1042.3095
25.35899999999674,1042,"(1039.383, 1045.236]",1042.3095
22.875,1074,"(1068.648, 1074.501]",1071.5745
27.031000000002678,1098,"(1097.913, 1103.766]",1100.8395
29.73399999999674,1176,"(1174.002, 1179.855]",1176.9285
28.577999999994063,1247,"(1244.238, 1250.091]",1247.1644999999999
22.936999999990803,1253,"(1250.091, 1255.944]",1253.0175
37.26600000000326,1325,"(1320.327, 1326.18]",1323.2535
7.172000000005937,1325,"(1320.327, 1326.18]",1323.2535
23.39100000000326,1405,"(1402.269, 1408.122]",1405.1955
28.531999999991967,1474,"(1472.505, 1478.358]",1475.4315000000001
28.014999999999418,1484,"(1478.358, 1484.211]",1481.2845
29.328000000008615,1493,"(1490.064, 1495.917]",1492.9904999999999
20.078000000008615,1569,"(1566.153, 1572.006]",1569.0795
38.89100000000326,1588,"(1583.712, 1589.565]",1586.6385
54.719000000011874,1595,"(1589.565, 1595.418]",1592.4915
22.75,1691,"(1689.066, 1694.919]",1691.9925
27.311999999990803,2115,"(2110.482, 2116.335]",2113.4085
34.57799999999406,2251,"(2250.954, 2256.807]",2253.8805
25.202999999994063,2360,"(2356.308, 2362.161]",2359.2345
46.67200000000594,2484,"(2479.221, 2485.074]",2482.1475
32.15600000000268,2496,"(2490.927, 2496.78]",2493.8535
37.155999999988126,2650,"(2648.958, 2654.811]",2651.8845
27.73399999999674,2655,"(2654.811, 2660.664]",2657.7375
24.187999999994645,2749,"(2748.459, 2754.312]",2751.3855
27.343999999997322,2940,"(2935.755, 2941.608]",2938.6815
29.98399999999674,3426,"(3421.554, 3427.407]",3424.4805
20.327999999994063,3455,"(3450.819, 3456.672]",3453.7455
49.0630000000092,3588,"(3585.438, 3591.291]",3588.3645
8.047000000005937,3731,"(3725.91, 3731.763]",3728.8365
32.01499999999942,3988,"(3983.442, 3989.295]",3986.3685
42.67200000000594,4861,"(4855.539, 4861.392]",4858.4655
26.077999999994063,5042,"(5036.982, 5042.835]",5039.9085
55.171999999991385,5408,"(5405.721, 5411.574]",5408.647499999999
27.531000000002678,6387,"(6383.172, 6389.025]",6386.0985
41.46800000000803,6906,"(6904.089, 6909.942]",6907.0154999999995
22.65700000000652,7072,"(7067.973, 7073.826]",7070.8994999999995
45.546999999991385,7206,"(7202.592, 7208.445]",7205.5185
29.85899999999674,7737,"(7735.215, 7741.068]",7738.1415
28.110000000000582,7860,"(7858.128, 7863.981]",7861.0545
39.546999999991385,9347,"(9344.79, 9350.643]",9347.7165
25.01600000000326,9538,"(9537.939, 9543.792]",9540.8655
17.73399999999674,9564,"(9561.351, 9567.204]",9564.2775
30.406000000002678,9650,"(9649.146, 9654.999]",9652.0725
31.015999999988708,9879,"(9877.413, 9883.266]",9880.3395
38.98500000000058,10034,"(10029.591, 10035.444]",10032.5175
23.531000000002678,11978,"(11972.787, 11978.64]",11975.7135
31.375,12880,"(12874.149, 12880.002]",12877.075499999999
35.65600000000268,13867,"(13863.306, 13869.159]",13866.2325
34.328000000008615,13921,"(13915.983, 13921.836]",13918.9095
30.718999999997322,14880,"(14875.875, 14881.728]",14878.8015
28.718999999997322,15020,"(15016.347, 15022.2]",15019.2735
30.125,16940,"(16936.131, 16941.984]",16939.057500000003
31.25,16989,"(16988.808, 16994.661]",16991.7345
32.0630000000092,17137,"(17135.133, 17140.986]",17138.059500000003
60.34399999999732,17656,"(17650.197, 17656.05]",17653.1235
21.078000000008615,18557,"(18551.559, 18557.412]",18554.485500000003
33.73500000000058,18892,"(18891.033, 18896.886]",18893.959499999997
31.297000000005937,19280,"(19277.331, 19283.184]",19280.2575
38.875,20020,"(20014.809, 20020.662]",20017.735500000003
25.686999999990803,20230,"(20225.517, 20231.37]",20228.4435
33.32799999999406,22204,"(22203.831, 22209.684]",22206.7575
27.953000000008615,23972,"(23971.437, 23977.29]",23974.3635
28.5,24900,"(24896.211, 24902.064]",24899.137499999997
25.53200000000652,25720,"(25715.631, 25721.484]",25718.557500000003
24.812999999994645,26900,"(26897.937, 26903.79]",26900.8635
28.889999999999418,27543,"(27541.767, 27547.62]",27544.6935
35.078000000008615,27669,"(27664.68, 27670.533]",27667.6065
25.593000000008033,28713,"(28712.367, 28718.22]",28715.2935
27.14100000000326,28993,"(28987.458, 28993.311]",28990.3845
21.593999999997322,29016,"(29010.87, 29016.723]",29013.7965
26.875,30240,"(30234.147, 30240.0]",30237.0735
