,cdf,Number of Prompt Tokens
0,0.0,975.5503705320581
1,0.01,975.5503705320581
2,0.02,981.4212697973203
3,0.03,989.3041319901912
4,0.04,999.2468071445744
5,0.05,999.2468071445744
6,0.06,1001.2473012529721
7,0.07,1015.3633499553291
8,0.08,1027.6211137305045
9,0.09,1042.1089926699406
10,0.1,1042.1089926699406
11,0.11,1042.1089926699406
12,0.12,1073.8459471089386
13,0.13,1097.732352960925
14,0.14,1154.0143134582472
15,0.15,1154.0143134582472
16,0.16,1174.9746552369265
17,0.17,1247.6310551477372
18,0.18,1252.6315754083294
19,0.19,1324.780277456438
20,0.2,1324.780277456438
21,0.21,1324.780277456438
22,0.22,1403.8895531837034
23,0.23,1472.9197460836535
24,0.24,1472.9197460836535
25,0.25,1484.7503673844674
26,0.26,1493.6856516140465
27,0.27,1570.2685787845928
28,0.28,1589.2253210219117
29,0.29,1589.2253210219117
30,0.3,1595.5949552047311
31,0.31,1690.8759338004254
32,0.32,2115.4060361769884
33,0.33,2250.7124128174532
34,0.34,2250.7124128174532
35,0.35000000000000003,2361.381454884735
36,0.36,2482.452112412912
37,0.37,2497.391603722689
38,0.38,2651.82172890474
39,0.39,2651.82172890474
40,0.4,2657.130681314961
41,0.41000000000000003,2749.0265321091074
42,0.42,2942.4626987531624
43,0.43,2942.4626987531624
44,0.44,3425.498244631828
45,0.45,3586.751611728787
46,0.46,3733.1297716143254
47,0.47000000000000003,3987.8290484184977
48,0.48,3987.8290484184977
49,0.49,4861.0139638388
50,0.5,5039.198605957926
51,0.51,5404.581857961706
52,0.52,6393.278103049647
53,0.53,6393.278103049647
54,0.54,6911.918000096232
55,0.55,7065.665266182624
56,0.56,7208.40122079606
57,0.5700000000000001,7731.069463458378
58,0.58,7731.069463458378
59,0.59,7855.76149258458
60,0.6,9348.793230237878
61,0.61,9537.651444706136
62,0.62,9537.651444706136
63,0.63,9556.745841992824
64,0.64,9652.79276666178
65,0.65,9887.26225059443
66,0.66,10026.657458239642
67,0.67,10026.657458239642
68,0.68,11980.10492927245
69,0.6900000000000001,12874.484093675683
70,0.7000000000000001,13863.3324312852
71,0.71,13918.896834251875
72,0.72,13918.896834251875
73,0.73,14868.537798933048
74,0.74,15017.969138169508
75,0.75,16932.713597711296
76,0.76,17000.58011727475
77,0.77,17000.58011727475
78,0.78,17137.130276098
79,0.79,17659.03376854769
80,0.8,18564.432100209764
81,0.81,18564.432100209764
82,0.8200000000000001,18901.61755554557
83,0.8300000000000001,19283.45568739728
84,0.84,20030.327954045704
85,0.85,20231.636164173382
86,0.86,20231.636164173382
87,0.87,22004.512677309256
88,0.88,22225.661780407474
89,0.89,23980.657854447956
90,0.9,24909.458613908162
91,0.91,24909.458613908162
92,0.92,25719.45234087454
93,0.93,26876.374267795218
94,0.9400000000000001,27529.21016274113
95,0.9500000000000001,27694.881997430202
96,0.96,27694.881997430202
97,0.97,28710.061685033208
98,0.98,28998.602698626644
99,0.99,28998.602698626644
100,1.0,30242.4830692797
