,cdf,Number of Total Tokens
0,0.0,1627.8281222919913
1,0.01,1627.8281222919913
2,0.02,1690.8759338004254
3,0.03,1701.0516895350909
4,0.04,1749.354232822977
5,0.05,1749.354232822977
6,0.06,1774.0174399220637
7,0.07,1791.8466175763326
8,0.08,1791.8466175763326
9,0.09,1813.478314801337
10,0.1,1813.478314801337
11,0.11,1839.045572940629
12,0.12,1842.727345859427
13,0.13,1842.727345859427
14,0.14,1956.6752802855995
15,0.15,1956.6752802855995
16,0.16,1968.4506266053597
17,0.17,1984.2613956405623
18,0.18,2056.996201440999
19,0.19,2197.338347829707
20,0.2,2197.338347829707
21,0.21,2287.0134574607923
22,0.22,2418.740180434836
23,0.23,2599.3121231896957
24,0.24,2599.3121231896957
25,0.25,2694.59214169446
26,0.26,2832.746882297829
27,0.27,2855.499755083081
28,0.28,2983.9469022146714
29,0.29,2983.9469022146714
30,0.3,3026.0159692116044
31,0.31,3062.546920355484
32,0.32,3278.044053439395
33,0.33,3551.0628250547616
34,0.34,3551.0628250547616
35,0.35000000000000003,3593.932295636152
36,0.36,3748.0922005963184
37,0.37,3823.8087110842685
38,0.38,3971.9095870669876
39,0.39,3971.9095870669876
40,0.4,4242.900032416562
41,0.41000000000000003,4433.755732459366
42,0.42,4577.930456842501
43,0.43,4577.930456842501
44,0.44,4642.47224307645
45,0.45,4979.089578123934
46,0.46,5255.352477057046
47,0.47000000000000003,5513.761690535258
48,0.48,5513.761690535258
49,0.49,5591.497259419574
50,0.5,5761.783760175436
51,0.51,6457.5316377259705
52,0.52,6654.192820784966
53,0.53,6654.192820784966
54,0.54,7136.6764064575
55,0.55,7383.49563700034
56,0.56,7608.356631656622
57,0.5700000000000001,7824.4011985625875
58,0.58,7824.4011985625875
59,0.59,7934.713234607492
60,0.6,9480.59685196166
61,0.61,9907.056569414439
62,0.62,9907.056569414439
63,0.63,10147.702204027551
64,0.64,10168.017924155734
65,0.65,10270.208237442368
66,0.66,10373.425580795974
67,0.67,10373.425580795974
68,0.68,12100.507025832556
69,0.6900000000000001,12977.893085347234
70,0.7000000000000001,14030.694641164959
71,0.71,14058.784119926051
72,0.72,14058.784119926051
73,0.73,14958.017225394291
74,0.74,15168.902287836036
75,0.75,17034.615312704733
76,0.76,17309.36135641383
77,0.77,17309.36135641383
78,0.78,17378.73748471997
79,0.79,17872.218796786347
80,0.8,18863.852085904116
81,0.81,18863.852085904116
82,0.8200000000000001,19015.368209505752
83,0.8300000000000001,19360.744009502767
84,0.84,20110.609749170348
85,0.85,20764.5568298669
86,0.86,20764.5568298669
87,0.87,22404.18025596129
88,0.88,23040.362503273802
89,0.89,24124.974366266204
90,0.9,25311.215570521275
91,0.91,25311.215570521275
92,0.92,25822.53621490223
93,0.93,27309.854998869618
94,0.9400000000000001,27750.32720663427
95,0.9500000000000001,28424.391703447443
96,0.96,28424.391703447443
97,0.97,28767.53928600425
98,0.98,29173.11739353072
99,0.99,29290.04359858876
100,1.0,30363.695304815665
