,cdf,Min Deadline to Meet Target Deadline Miss Rate of 10.0%
0,0.0,9991566009.249968
1,0.01,9991566009.249968
2,0.02,9991566009.249968
3,0.03,9991566009.249968
4,0.04,9991566009.249968
5,0.05,9991566009.249968
6,0.06,9991566009.249968
7,0.07,9991566009.249968
8,0.08,9991566009.249968
9,0.09,9991566009.249968
10,0.1,9991566009.249968
11,0.11,9991566009.249968
12,0.12,9991566009.249968
13,0.13,9991566009.249968
14,0.14,9991566009.249968
15,0.15,9991566009.249968
16,0.16,9991566009.249968
17,0.17,9991566009.249968
18,0.18,9991566009.249968
19,0.19,9991566009.249968
20,0.2,9991566009.249968
21,0.21,9991566009.249968
22,0.22,9991566009.249968
23,0.23,9991566009.249968
24,0.24,9991566009.249968
25,0.25,9991566009.249968
26,0.26,9991566009.249968
27,0.27,9991566009.249968
28,0.28,9991566009.249968
29,0.29,9991566009.249968
30,0.3,9991566009.249968
31,0.31,9991566009.249968
32,0.32,9991566009.249968
33,0.33,9991566009.249968
34,0.34,9991566009.249968
35,0.35000000000000003,9991566009.249968
36,0.36,9991566009.249968
37,0.37,9991566009.249968
38,0.38,9991566009.249968
39,0.39,9991566009.249968
40,0.4,9991566009.249968
41,0.41000000000000003,9991566009.249968
42,0.42,9991566009.249968
43,0.43,9991566009.249968
44,0.44,9991566009.249968
45,0.45,9991566009.249968
46,0.46,9991566009.249968
47,0.47000000000000003,9991566009.249968
48,0.48,9991566009.249968
49,0.49,9991566009.249968
50,0.5,9991566009.249968
51,0.51,9991566009.249968
52,0.52,9991566009.249968
53,0.53,9991566009.249968
54,0.54,9991566009.249968
55,0.55,9991566009.249968
56,0.56,9991566009.249968
57,0.5700000000000001,9991566009.249968
58,0.58,9991566009.249968
59,0.59,9991566009.249968
60,0.6,9991566009.249968
61,0.61,9991566009.249968
62,0.62,9991566009.249968
63,0.63,9991566009.249968
64,0.64,9991566009.249968
65,0.65,9991566009.249968
66,0.66,9991566009.249968
67,0.67,9991566009.249968
68,0.68,9991566009.249968
69,0.6900000000000001,9991566009.249968
70,0.7000000000000001,9991566009.249968
71,0.71,9991566009.249968
72,0.72,9991566009.249968
73,0.73,9991566009.249968
74,0.74,9991566009.249968
75,0.75,9991566009.249968
76,0.76,9991566009.249968
77,0.77,9991566009.249968
78,0.78,9991566009.249968
79,0.79,9991566009.249968
80,0.8,9991566009.249968
81,0.81,9991566009.249968
82,0.8200000000000001,9991566009.249968
83,0.8300000000000001,9991566009.249968
84,0.84,9991566009.249968
85,0.85,9991566009.249968
86,0.86,9991566009.249968
87,0.87,9991566009.249968
88,0.88,9991566009.249968
89,0.89,9991566009.249968
90,0.9,9991566009.249968
91,0.91,9991566009.249968
92,0.92,9991566009.249968
93,0.93,9991566009.249968
94,0.9400000000000001,9991566009.249968
95,0.9500000000000001,9991566009.249968
96,0.96,9991566009.249968
97,0.97,9991566009.249968
98,0.98,9991566009.249968
99,0.99,9991566009.249968
100,1.0,9991566009.249968
