Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9422.51064,5796.45839,23505.80886,28998.60270
838.06383,550.59615,1624.57572,3846.82054
10260.57447,6614.38719,23980.65785,29466.31220
0.02482,0.02450,0.03047,0.03889
14.80011,14.16821,21.82379,29.34143
0.02617,0.01600,0.03197,0.31192
36.78023,30.53888,58.49848,118.03735
0.09204,0.04769,0.12160,0.81955
20.19849,20.55287,30.96943,35.41023
0.36273,0.32336,0.67099,0.94082
0.67909,0.20867,0.88073,7.45586
