ttft,prompt_length,prompt_length_bin,prompt_length_bin_mid
12.281000000002678,975,"(945.735, 980.853]",963.294
6.562999999994645,981,"(980.853, 986.706]",983.7795
19.578999999997905,990,"(986.706, 992.559]",989.6324999999999
4.422000000005937,1000,"(998.412, 1004.265]",1001.3385000000001
8.562000000005355,1001,"(998.412, 1004.265]",1001.3385000000001
10.406000000002678,1016,"(1015.971, 1021.824]",1018.8975
10.35899999999674,1024,"(1021.824, 1027.677]",1024.7504999999999
11.156000000002678,1027,"(1021.824, 1027.677]",1024.7504999999999
16.452999999994063,1043,"(1039.383, 1045.236]",1042.3095
11.531999999991967,1042,"(1039.383, 1045.236]",1042.3095
12.093999999997322,1074,"(1068.648, 1074.501]",1071.5745
11.921000000002095,1098,"(1097.913, 1103.766]",1100.8395
4.889999999999418,1154,"(1150.59, 1156.443]",1153.5165
14.172000000005937,1176,"(1174.002, 1179.855]",1176.9285
15.25,1247,"(1244.238, 1250.091]",1247.1644999999999
10.313000000009197,1253,"(1250.091, 1255.944]",1253.0175
13.218999999997322,1325,"(1320.327, 1326.18]",1323.2535
13.218999999997322,1325,"(1320.327, 1326.18]",1323.2535
26.26600000000326,1405,"(1402.269, 1408.122]",1405.1955
12.39100000000326,1474,"(1472.505, 1478.358]",1475.4315000000001
9.952999999994063,1484,"(1478.358, 1484.211]",1481.2845
22.953000000008615,1493,"(1490.064, 1495.917]",1492.9904999999999
12.843999999997322,1569,"(1566.153, 1572.006]",1569.0795
17.375,1588,"(1583.712, 1589.565]",1586.6385
17.65700000000652,1595,"(1589.565, 1595.418]",1592.4915
7.875,1691,"(1689.066, 1694.919]",1691.9925
17.218000000008033,2115,"(2110.482, 2116.335]",2113.4085
19.343999999997322,2251,"(2250.954, 2256.807]",2253.8805
11.98399999999674,2360,"(2356.308, 2362.161]",2359.2345
11.5,2484,"(2479.221, 2485.074]",2482.1475
12.75,2496,"(2490.927, 2496.78]",2493.8535
8.172000000005937,2650,"(2648.958, 2654.811]",2651.8845
16.703000000008615,2655,"(2654.811, 2660.664]",2657.7375
9.25,2740,"(2736.753, 2742.606]",2739.6795
6.64100000000326,2749,"(2748.459, 2754.312]",2751.3855
6.5310000000026776,2940,"(2935.755, 2941.608]",2938.6815
19.25,2939,"(2935.755, 2941.608]",2938.6815
19.25,3021,"(3017.697, 3023.55]",3020.6235
11.313000000009197,3426,"(3421.554, 3427.407]",3424.4805
7.389999999999418,3455,"(3450.819, 3456.672]",3453.7455
21.813000000009197,3588,"(3585.438, 3591.291]",3588.3645
14.85899999999674,3731,"(3725.91, 3731.763]",3728.8365
12.546999999991385,3988,"(3983.442, 3989.295]",3986.3685
19.281000000002678,4861,"(4855.539, 4861.392]",4858.4655
13.437000000005355,5042,"(5036.982, 5042.835]",5039.9085
31.155999999988126,5408,"(5405.721, 5411.574]",5408.647499999999
21.452999999994063,5798,"(5797.872, 5803.725]",5800.798500000001
18.5,6387,"(6383.172, 6389.025]",6386.0985
12.5,6906,"(6904.089, 6909.942]",6907.0154999999995
12.14100000000326,7072,"(7067.973, 7073.826]",7070.8994999999995
21.718999999997322,7206,"(7202.592, 7208.445]",7205.5185
16.327999999994063,7737,"(7735.215, 7741.068]",7738.1415
18.577999999994063,7860,"(7858.128, 7863.981]",7861.0545
16.828000000008615,8315,"(8314.662, 8320.515]",8317.5885
10.764999999999418,9347,"(9344.79, 9350.643]",9347.7165
16.077999999994063,9538,"(9537.939, 9543.792]",9540.8655
15.312000000005355,9564,"(9561.351, 9567.204]",9564.2775
22.468999999997322,9650,"(9649.146, 9654.999]",9652.0725
23.077999999994063,9879,"(9877.413, 9883.266]",9880.3395
13.655999999988126,10034,"(10029.591, 10035.444]",10032.5175
17.656000000002678,10453,"(10451.007, 10456.86]",10453.9335
17.562000000005355,10991,"(10989.483, 10995.336]",10992.4095
17.60899999999674,11978,"(11972.787, 11978.64]",11975.7135
6.85899999999674,12880,"(12874.149, 12880.002]",12877.075499999999
7.98399999999674,13867,"(13863.306, 13869.159]",13866.2325
13.85899999999674,13921,"(13915.983, 13921.836]",13918.9095
14.328000000008615,14155,"(14150.103, 14155.956]",14153.0295
10.781000000002678,14880,"(14875.875, 14881.728]",14878.8015
24.25,14907,"(14905.14, 14910.993]",14908.0665
20.26600000000326,15020,"(15016.347, 15022.2]",15019.2735
10.639999999999418,16413,"(16409.361, 16415.214]",16412.2875
15.687000000005355,16924,"(16918.572, 16924.425]",16921.4985
17.639999999999418,16940,"(16936.131, 16941.984]",16939.057500000003
11.264999999999418,16989,"(16988.808, 16994.661]",16991.7345
6.297000000005937,17137,"(17135.133, 17140.986]",17138.059500000003
24.687999999994645,17656,"(17650.197, 17656.05]",17653.1235
11.562000000005355,18557,"(18551.559, 18557.412]",18554.485500000003
16.437999999994645,18892,"(18891.033, 18896.886]",18893.959499999997
5.875,19280,"(19277.331, 19283.184]",19280.2575
19.375,20020,"(20014.809, 20020.662]",20017.735500000003
7.98399999999674,20230,"(20225.517, 20231.37]",20228.4435
6.23399999999674,22020,"(22016.535, 22022.388]",22019.461499999998
14.171000000002095,22204,"(22203.831, 22209.684]",22206.7575
25.297000000005937,23494,"(23491.491, 23497.344]",23494.417500000003
18.437000000005355,23972,"(23971.437, 23977.29]",23974.3635
12.953000000008615,24900,"(24896.211, 24902.064]",24899.137499999997
16.968999999997322,25720,"(25715.631, 25721.484]",25718.557500000003
