,cdf,Number of Output Tokens
0,0.0,277.8277662050077
1,0.01,277.8277662050077
2,0.02,289.16613629152687
3,0.03,315.7659953856089
4,0.04,353.1883399788932
5,0.05,374.2789874217211
6,0.06,374.2789874217211
7,0.07,387.2232833968323
8,0.08,387.99850518541456
9,0.09,411.1678422074093
10,0.1,423.6897714554094
11,0.11,426.23955262824626
12,0.12,426.23955262824626
13,0.13,433.1142385901656
14,0.14,436.5930503518891
15,0.15,449.8892927265958
16,0.16,455.32048804743
17,0.17,458.0606240767752
18,0.18,458.0606240767752
19,0.19,461.73980740680776
20,0.2,474.85122969468847
21,0.21,499.19738117659955
22,0.22,512.3467181125903
23,0.23,529.0069608796209
24,0.24,529.0069608796209
25,0.25,536.4651462992648
26,0.26,536.4651462992648
27,0.27,555.018588697581
28,0.28,555.018588697581
29,0.29,561.7189356732582
30,0.3,561.7189356732582
31,0.31,570.7787267175335
32,0.32,597.6478082284509
33,0.33,600.0431878251786
34,0.34,607.2870849498757
35,0.35000000000000003,635.8747765057328
36,0.36,635.8747765057328
37,0.37,643.5512430645687
38,0.38,644.8396339415749
39,0.39,657.8662630353349
40,0.4,660.5029989225147
41,0.41000000000000003,664.4779311128053
42,0.42,664.4779311128053
43,0.43,671.1560475814197
44,0.44,686.0851030811456
45,0.45,687.4586468310579
46,0.46,691.5957991365584
47,0.47000000000000003,699.9449462020818
48,0.48,699.9449462020818
49,0.49,704.157241532502
50,0.5,704.157241532502
51,0.51,705.5669657397743
52,0.52,721.2614505444045
53,0.53,721.2614505444045
54,0.54,734.3617096476836
55,0.55,740.2601676646667
56,0.56,762.8044537032955
57,0.5700000000000001,770.4707684837989
58,0.58,795.5245642710101
59,0.59,795.5245642710101
60,0.6,798.7130362836465
61,0.61,806.7402384397363
62,0.62,821.3930472715748
63,0.63,821.3930472715748
64,0.64,836.3119948137848
65,0.65,836.3119948137848
66,0.66,865.2355260624361
67,0.67,866.9677293178154
68,0.68,895.1593666036462
69,0.6900000000000001,916.9030795164451
70,0.7000000000000001,935.4257566335125
71,0.71,935.4257566335125
72,0.72,958.1475532904007
73,0.73,1042.1089926699406
74,0.74,1052.582365674798
75,0.75,1061.0368000656206
76,0.76,1071.7004007610685
77,0.77,1071.7004007610685
78,0.78,1080.3083928957699
79,0.79,1122.1500830555203
80,0.8,1124.3966297683442
81,0.81,1156.3246524241297
82,0.8200000000000001,1210.7579728769483
83,0.8300000000000001,1210.7579728769483
84,0.84,1222.9262968792727
85,0.85,1255.1393463300678
86,0.86,1290.7798991606564
87,0.87,1351.542623312366
88,0.88,1687.4975603063185
89,0.89,1687.4975603063185
90,0.9,1781.1277231379006
91,0.91,1809.8549815050308
92,0.92,1868.7069704005019
93,0.93,1891.2665483183014
94,0.9400000000000001,1925.6175895359252
95,0.9500000000000001,1925.6175895359252
96,0.96,2020.3015006425762
97,0.97,2537.6712607692084
98,0.98,2936.583652402007
99,0.99,3200.3075397272987
100,1.0,3816.168733639544
