,cdf,Number of Total Tokens
0,0.0,1677.4028858868614
1,0.01,1677.4028858868614
2,0.02,1701.0516895350909
3,0.03,1728.4874263137149
4,0.04,1749.354232822977
5,0.05,1809.8549815050308
6,0.06,1809.8549815050308
7,0.07,1853.816949172257
8,0.08,1879.952920082763
9,0.09,1984.2613956405623
10,0.1,2036.5287404708965
11,0.11,2162.4606879712273
12,0.12,2162.4606879712273
13,0.13,2166.7899385977967
14,0.14,2171.1278563927876
15,0.15,2255.2183435738443
16,0.16,2273.3324562024595
17,0.17,2277.8836723309932
18,0.18,2277.8836723309932
19,0.19,2300.7767915054797
20,0.2,2351.9547918179924
21,0.21,2361.381454884735
22,0.22,2385.1137410061647
23,0.23,2399.4674462915236
24,0.24,2399.4674462915236
25,0.25,2487.421986511837
26,0.26,2583.7629394662035
27,0.27,2620.1900274026284
28,0.28,2936.583652402007
29,0.29,3344.264958280721
30,0.3,3344.264958280721
31,0.31,3453.0121486354883
32,0.32,3473.792507188691
33,0.33,3508.7047139973547
34,0.34,3637.319299023481
35,0.35000000000000003,3695.98449743088
36,0.36,3695.98449743088
37,0.37,3893.260481782359
38,0.38,3908.86471657484
39,0.39,3956.0536763959713
40,0.4,4803.03037428383
41,0.41000000000000003,5265.873703237341
42,0.42,5265.873703237341
43,0.43,5297.563931634711
44,0.44,5480.778158942876
45,0.45,5558.048710705299
46,0.46,5843.016059198163
47,0.47000000000000003,5878.179552263265
48,0.48,5878.179552263265
49,0.49,5901.739366541061
50,0.5,5913.55466056817
51,0.51,6167.213591638426
52,0.52,6470.459628992682
53,0.53,6470.459628992682
54,0.54,7051.548052863576
55,0.55,7295.423151777802
56,0.56,7777.5953337811525
57,0.5700000000000001,7887.247479041847
58,0.58,8391.73449468092
59,0.59,8391.73449468092
60,0.6,8425.368667370854
61,0.61,9769.324108382632
62,0.62,9966.677612972206
63,0.63,10168.017924155734
64,0.64,10290.769214894706
65,0.65,10290.769214894706
66,0.66,10311.371355465068
67,0.67,10435.853250817072
68,0.68,10948.991169213725
69,0.6900000000000001,12444.109320822423
70,0.7000000000000001,13534.573234010468
71,0.71,13534.573234010468
72,0.72,14314.133569850323
73,0.73,14314.133569850323
74,0.74,15168.902287836036
75,0.75,15444.414794615628
76,0.76,17274.777217839575
77,0.77,17274.777217839575
78,0.78,17694.387189505742
79,0.79,17765.306505977398
80,0.8,17979.774489831118
81,0.81,18939.45863173285
82,0.8200000000000001,19712.392864110647
83,0.8300000000000001,19712.392864110647
84,0.84,19831.022794740806
85,0.85,20640.342463225817
86,0.86,20889.51872329476
87,0.87,22584.132607654727
88,0.88,22994.32781295757
89,0.89,22994.32781295757
90,0.9,24563.155853464115
91,0.91,25361.888674766535
92,0.92,26082.057105339198
93,0.93,27474.20674583255
94,0.9400000000000001,28029.222725132087
95,0.9500000000000001,28029.222725132087
96,0.96,28197.9036544552
97,0.97,29231.52203295721
98,0.98,29525.30381193072
99,0.99,29584.41352927193
100,1.0,30668.855618151425
