Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9155.23810,4861.01396,23980.65785,28998.60270
922.59524,704.15724,1781.12772,3200.30754
10077.83333,5913.55466,24563.15585,29584.41353
0.02702,0.02665,0.03235,0.03677
16.10695,16.19982,22.39865,28.24738
0.02717,0.03102,0.03197,0.37494
41.20724,35.83771,62.99157,125.33637
0.05177,0.04827,0.07172,0.11338
21.37509,20.67656,29.87436,39.60680
0.30428,0.31192,0.47664,0.59750
0.22356,0.19969,0.41271,0.64597
