,cdf,Number of Output Tokens
0,0.0,58.03236392716473
1,0.01,58.03236392716473
2,0.02,61.007747867799274
3,0.03,65.03989765493789
4,0.04,65.95686028918864
5,0.05,73.03953941466173
6,0.06,78.96470309310095
7,0.07,80.07798409094674
8,0.08,86.05623561054385
9,0.09,86.92111544680155
10,0.1,86.92111544680155
11,0.11,86.92111544680155
12,0.12,86.92111544680155
13,0.13,91.92757208032228
14,0.14,96.06269216059265
15,0.15,99.9830863317801
16,0.16,108.09398292749972
17,0.17,112.05626071695865
18,0.18,112.9563064855434
19,0.19,117.0968169214218
20,0.2,123.10050115880195
21,0.21,123.10050115880195
22,0.22,124.0892552406332
23,0.23,127.10342371406671
24,0.24,134.96306318989895
25,0.25,139.07330177102023
26,0.26,143.88309884982797
27,0.27,145.03878058917988
28,0.28,150.95792752571776
29,0.29,150.95792752571776
30,0.3,154.00748097611634
31,0.31,154.00748097611634
32,0.32,159.01542175195067
33,0.33,161.90361607426667
34,0.34,165.83630770304308
35,0.35000000000000003,170.88677687557998
36,0.36,173.9905904132433
37,0.37,176.091055785056
38,0.38,181.09128352475034
39,0.39,218.98457561057066
40,0.4,276.1657899684225
41,0.41000000000000003,276.1657899684225
42,0.42,297.97255918715183
43,0.43,333.2861520128365
44,0.44,335.2918807625545
45,0.45,353.89542374261475
46,0.46,360.32322013044836
47,0.47000000000000003,438.34292054381035
48,0.48,532.1905449074276
49,0.49,546.208953362701
50,0.5,553.9096604484355
51,0.51,553.9096604484355
52,0.52,558.3587116917573
53,0.53,618.3172296455531
54,0.54,620.795452531684
55,0.55,624.531423196283
56,0.56,637.1477990813199
57,0.5700000000000001,651.3203821762511
58,0.58,680.6183167357875
59,0.59,708.3948866165663
60,0.6,725.602029409393
61,0.61,725.602029409393
62,0.62,747.6999085277857
63,0.63,756.7263608355797
64,0.64,758.2413285249404
65,0.65,772.0132525047875
66,0.66,776.659257645896
67,0.67,784.4648155675877
68,0.68,811.5952319041234
69,0.6900000000000001,826.336221897287
70,0.7000000000000001,834.6410417771938
71,0.71,834.6410417771938
72,0.72,853.2066234775198
73,0.73,868.7034004475807
74,0.74,877.4340176934461
75,0.75,884.4816451065375
76,0.76,898.7471761012466
77,0.77,898.7471761012466
78,0.78,904.1558708188261
79,0.79,909.5971152671037
80,0.8,977.5034243269172
81,0.81,977.5034243269172
82,0.8200000000000001,1044.1952969595702
83,0.8300000000000001,1061.0368000656206
84,0.84,1075.9957888448923
85,0.85,1128.9032249712284
86,0.86,1133.427882661837
87,0.87,1182.0456974388467
88,0.88,1232.7489487485645
89,0.89,1290.7798991606564
90,0.9,1359.676258267418
91,0.91,1359.676258267418
92,0.92,1365.1258570484513
93,0.93,1432.250012955918
94,0.9400000000000001,1502.674708724251
95,0.9500000000000001,1551.5379580868073
96,0.96,1777.5690263883744
97,0.97,1791.8466175763326
98,0.98,1944.9703745342133
99,0.99,2061.1143119543917
100,1.0,2268.790333412844
