Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
9425.68132,5796.45839,23980.65785,28998.60270
610.53846,553.90966,1359.67626,2061.11431
10036.21978,6130.32109,24124.97437,29173.11739
0.03351,0.03216,0.04500,0.05585
15.63240,15.16516,23.17330,27.85467
0.03493,0.03102,0.03197,0.45339
36.98818,32.23332,68.78605,89.92725
0.10788,0.07086,0.21937,0.39653
14.04168,14.11165,23.59419,28.53127
0.45916,0.43561,0.79057,0.88073
0.68995,0.32530,1.73499,3.41098
