ttft,prompt_length,prompt_length_bin,prompt_length_bin_mid
6.625,975,"(945.735, 980.853]",963.294
10.796999999991385,981,"(980.853, 986.706]",983.7795
18.25,990,"(986.706, 992.559]",989.6324999999999
19.953999999997905,1001,"(998.412, 1004.265]",1001.3385000000001
4.780999999988126,1000,"(998.412, 1004.265]",1001.3385000000001
10.10899999999674,1016,"(1015.971, 1021.824]",1018.8975
8.468999999997322,1024,"(1021.824, 1027.677]",1024.7504999999999
12.23399999999674,1027,"(1021.824, 1027.677]",1024.7504999999999
11.812000000005355,1043,"(1039.383, 1045.236]",1042.3095
10.406000000002678,1042,"(1039.383, 1045.236]",1042.3095
11.5,1074,"(1068.648, 1074.501]",1071.5745
15.343000000008033,1098,"(1097.913, 1103.766]",1100.8395
10.656000000002678,1154,"(1150.59, 1156.443]",1153.5165
11.562999999994645,1176,"(1174.002, 1179.855]",1176.9285
13.281000000002678,1247,"(1244.238, 1250.091]",1247.1644999999999
21.906000000002678,1253,"(1250.091, 1255.944]",1253.0175
15.0,1325,"(1320.327, 1326.18]",1323.2535
22.671999999991385,1325,"(1320.327, 1326.18]",1323.2535
7.062999999994645,1405,"(1402.269, 1408.122]",1405.1955
7.625,1474,"(1472.505, 1478.358]",1475.4315000000001
9.03200000000652,1484,"(1478.358, 1484.211]",1481.2845
13.889999999999418,1493,"(1490.064, 1495.917]",1492.9904999999999
8.73399999999674,1569,"(1566.153, 1572.006]",1569.0795
15.264999999999418,1588,"(1583.712, 1589.565]",1586.6385
14.51600000000326,1595,"(1589.565, 1595.418]",1592.4915
11.235000000000582,1691,"(1689.066, 1694.919]",1691.9925
15.531000000002678,2115,"(2110.482, 2116.335]",2113.4085
7.139999999999418,2251,"(2250.954, 2256.807]",2253.8805
23.797000000005937,2360,"(2356.308, 2362.161]",2359.2345
16.296999999991385,2484,"(2479.221, 2485.074]",2482.1475
14.312999999994645,2496,"(2490.927, 2496.78]",2493.8535
14.968000000008033,2650,"(2648.958, 2654.811]",2651.8845
17.687999999994645,2655,"(2654.811, 2660.664]",2657.7375
9.264999999999418,2749,"(2748.459, 2754.312]",2751.3855
17.202999999994063,2940,"(2935.755, 2941.608]",2938.6815
21.452999999994063,2939,"(2935.755, 2941.608]",2938.6815
13.797000000005937,3021,"(3017.697, 3023.55]",3020.6235
27.421999999991385,3426,"(3421.554, 3427.407]",3424.4805
9.26600000000326,3455,"(3450.819, 3456.672]",3453.7455
10.577999999994063,3588,"(3585.438, 3591.291]",3588.3645
17.656999999991967,3731,"(3725.91, 3731.763]",3728.8365
19.094000000011874,3988,"(3983.442, 3989.295]",3986.3685
19.26600000000326,4861,"(4855.539, 4861.392]",4858.4655
9.968999999997322,5042,"(5036.982, 5042.835]",5039.9085
19.35899999999674,5408,"(5405.721, 5411.574]",5408.647499999999
30.953000000008615,5798,"(5797.872, 5803.725]",5800.798500000001
19.422000000005937,6387,"(6383.172, 6389.025]",6386.0985
18.156000000002678,6906,"(6904.089, 6909.942]",6907.0154999999995
21.5,7072,"(7067.973, 7073.826]",7070.8994999999995
20.625,7206,"(7202.592, 7208.445]",7205.5185
20.702999999994063,7737,"(7735.215, 7741.068]",7738.1415
23.328999999997905,7860,"(7858.128, 7863.981]",7861.0545
23.98399999999674,9347,"(9344.79, 9350.643]",9347.7165
