,cdf,Number of Total Tokens
0,0.0,1467.0398328057895
1,0.01,1467.0398328057895
2,0.02,1467.0398328057895
3,0.03,1576.5622341167405
4,0.04,1576.5622341167405
5,0.05,1813.478314801337
6,0.06,1813.478314801337
7,0.07,1813.478314801337
8,0.08,1835.3711562114765
9,0.09,1835.3711562114765
10,0.1,1902.648262399225
11,0.11,1902.648262399225
12,0.12,1902.648262399225
13,0.13,1952.7658391661473
14,0.14,1952.7658391661473
15,0.15,1984.2613956405623
16,0.16,1984.2613956405623
17,0.17,1984.2613956405623
18,0.18,2149.5247661047792
19,0.19,2149.5247661047792
20,0.2,2309.9983325320113
21,0.21,2309.9983325320113
22,0.22,2776.654717331138
23,0.23,2776.654717331138
24,0.24,2776.654717331138
25,0.25,2776.654717331138
26,0.26,2776.654717331138
27,0.27,2913.184696003074
28,0.28,2913.184696003074
29,0.29,2913.184696003074
30,0.3,3226.0126921290625
31,0.31,3226.0126921290625
32,0.32,3264.9580622939193
33,0.33,3264.9580622939193
34,0.34,3264.9580622939193
35,0.35000000000000003,4389.639111173677
36,0.36,4389.639111173677
37,0.37,4505.266407863774
38,0.38,4505.266407863774
39,0.39,4505.266407863774
40,0.4,4633.196574259114
41,0.41000000000000003,4633.196574259114
42,0.42,4764.759406515317
43,0.43,4764.759406515317
44,0.44,5192.665102928268
45,0.45,5192.665102928268
46,0.46,5192.665102928268
47,0.47000000000000003,5647.692759953058
48,0.48,5647.692759953058
49,0.49,5831.341701437526
50,0.5,5831.341701437526
51,0.51,5831.341701437526
52,0.52,5925.393608837577
53,0.53,5925.393608837577
54,0.54,7009.365424917211
55,0.55,7009.365424917211
56,0.56,7009.365424917211
57,0.5700000000000001,7487.591582003236
58,0.58,7487.591582003236
59,0.59,7654.144011486405
60,0.6,7654.144011486405
61,0.61,9537.651444706136
62,0.62,9537.651444706136
63,0.63,9537.651444706136
64,0.64,9926.890516500356
65,0.65,9926.890516500356
66,0.66,10394.193199576335
67,0.67,10394.193199576335
68,0.68,10394.193199576335
69,0.6900000000000001,10540.735354789453
70,0.7000000000000001,10540.735354789453
71,0.71,10561.837928072315
72,0.72,10561.837928072315
73,0.73,10561.837928072315
74,0.74,11789.94849514625
75,0.75,11789.94849514625
76,0.76,13616.024810941191
77,0.77,13616.024810941191
78,0.78,13616.024810941191
79,0.79,14143.390417922867
80,0.8,14143.390417922867
81,0.81,15506.316194692847
82,0.8200000000000001,15506.316194692847
83,0.8300000000000001,18087.977457130855
84,0.84,18087.977457130855
85,0.85,18087.977457130855
86,0.86,19168.10132397472
87,0.87,19168.10132397472
88,0.88,20764.5568298669
89,0.89,20764.5568298669
90,0.9,20764.5568298669
91,0.91,22856.774871711277
92,0.92,22856.774871711277
93,0.93,28085.337285142366
94,0.9400000000000001,28085.337285142366
95,0.9500000000000001,28085.337285142366
96,0.96,28197.9036544552
97,0.97,28197.9036544552
98,0.98,29173.11739353072
99,0.99,29173.11739353072
100,1.0,29525.30381193072
