,cdf,Number of Output Tokens
0,0.0,86.92111544680155
1,0.01,99.9830863317801
2,0.02,107.01842946992822
3,0.03,122.11962555631553
4,0.04,209.9776890247771
5,0.05,215.07811556175292
6,0.06,277.27266577302964
7,0.07,305.21040981417445
8,0.08,315.7659953856089
9,0.09,348.97540664990424
10,0.1,351.7784078930813
11,0.11,358.8848055175669
12,0.12,363.94452991021416
13,0.13,378.79739298956946
14,0.14,384.9068990265854
15,0.15,399.01599201879577
16,0.16,407.89162073672736
17,0.17,411.1678422074093
18,0.18,418.635876529482
19,0.19,436.5930503518891
20,0.2,447.19803791135894
21,0.21,447.19803791135894
22,0.22,451.69245441772284
23,0.23,454.4107568025799
24,0.24,459.8965365621406
25,0.25,472.9556178951206
26,0.26,479.6235654919891
27,0.27,494.23028259447756
28,0.28,504.2143999461194
29,0.29,517.4958899596346
30,0.3,531.1272271353848
31,0.31,532.1905449074276
32,0.32,535.3932878651003
33,0.33,536.4651462992648
34,0.34,538.6153050518083
35,0.35000000000000003,539.6936139708303
36,0.36,550.5961518475673
37,0.37,553.9096604484355
38,0.38,553.9096604484355
39,0.39,579.9846403305055
40,0.4,583.4750099737693
41,0.41000000000000003,598.8443003370163
42,0.42,600.0431878251786
43,0.43,614.6184325225045
44,0.44,618.3172296455531
45,0.45,623.2836081649217
46,0.46,625.7817363558352
47,0.47000000000000003,630.808070451414
48,0.48,637.1477990813199
49,0.49,643.5512430645687
50,0.5,650.0190427513235
51,0.51,653.9308820942923
52,0.52,656.5518449273721
53,0.53,669.8150764573809
54,0.54,672.4997033323336
55,0.55,675.1950902240587
56,0.56,683.346243127588
57,0.5700000000000001,688.8349404183074
58,0.58,698.5464548010785
59,0.59,698.5464548010785
60,0.6,711.2341418342127
61,0.61,712.6580340100571
62,0.62,718.3821661902196
63,0.63,724.1522751048786
64,0.64,731.4301289021654
65,0.65,741.7421700023338
66,0.66,749.196805241555
67,0.67,756.7263608355797
68,0.68,758.2413285249404
69,0.6900000000000001,776.659257645896
70,0.7000000000000001,776.659257645896
71,0.71,789.1857546891915
72,0.72,818.1140363832768
73,0.73,818.1140363832768
74,0.74,837.9862931017004
75,0.75,888.0266581680738
76,0.76,909.5971152671037
77,0.77,916.9030795164451
78,0.78,922.4210371519016
79,0.79,926.1181117526362
80,0.8,960.0657666103014
81,0.81,1019.4329384625767
82,0.8200000000000001,1019.4329384625767
83,0.8300000000000001,1033.8053767104652
84,0.84,1040.0268568204501
85,0.85,1093.3501922526584
86,0.86,1140.2488948048779
87,0.87,1151.7085905542347
88,0.88,1205.9246125394757
89,0.89,1220.4828876946988
90,0.9,1283.0584048393007
91,0.91,1285.6270903344746
92,0.92,1316.8553915823447
93,0.93,1356.9596223867638
94,0.9400000000000001,1373.3412364211895
95,0.9500000000000001,1417.998882487584
96,0.96,1461.183392212194
97,0.97,1592.4069532962299
98,0.98,1592.4069532962299
99,0.99,1657.3943359881944
100,1.0,1831.704080974291
