,cdf,Number of Prompt Tokens
0,0.0,975.5503705320581
1,0.01,975.5503705320581
2,0.02,979.4603881393836
3,0.03,979.4603881393836
4,0.04,979.4603881393836
5,0.05,983.386077144262
6,0.06,985.3548180394457
7,0.07,987.3275003578432
8,0.08,991.2847208430245
9,0.09,995.2578019154606
10,0.1,997.2503100274024
11,0.11,1009.2894078789993
12,0.12,1017.3961094146993
13,0.13,1023.5188379294614
14,0.14,1027.6211137305045
15,0.15,1029.6784132574926
16,0.16,1048.3804442568558
17,0.17,1052.582365674798
18,0.18,1065.2894483097232
19,0.19,1073.8459471089386
20,0.2,1099.9300153292154
21,0.21,1104.338548047436
22,0.22,1108.7647502177647
23,0.23,1128.9032249712284
24,0.24,1131.1632914876873
25,0.25,1172.6270535281612
26,0.26,1184.4121552915772
27,0.27,1208.3388760280434
28,0.28,1215.61070538073
29,0.29,1237.689821347885
30,0.3,1285.6270903344746
31,0.31,1303.7524571619513
32,0.32,1322.133363815166
33,0.33,1335.4210294804682
34,0.34,1340.773413013072
35,0.35000000000000003,1367.858841747247
36,0.36,1378.8456045988617
37,0.37,1401.084579051468
38,0.38,1409.516359382029
39,0.39,1437.9904882177887
40,0.4,1443.7539713734884
41,0.41000000000000003,1464.108684288695
42,0.42,1487.7228405924445
43,0.43,1564.0000477999542
44,0.44,1595.5949552047311
45,0.45,1627.8281222919913
46,0.46,1781.1277231379006
47,0.47000000000000003,1817.1089020181566
48,0.48,1864.9732901399614
49,0.49,1887.4877939760072
50,0.5,2012.2364328406775
51,0.51,2201.737423601138
52,0.52,2223.8652599966845
53,0.53,2246.2154849197154
54,0.54,2277.8836723309932
55,0.55,2328.552442863115
56,0.56,2351.9547918179924
57,0.5700000000000001,2389.8887434906615
58,0.58,2418.740180434836
59,0.59,2517.4508733346483
60,0.6,2568.3067715495927
61,0.61,2667.780493013807
62,0.62,2948.353514966883
63,0.63,2954.256124606456
64,0.64,3026.0159692116044
65,0.65,3056.427945489638
66,0.66,3155.8153910838614
67,0.67,3264.9580622939193
68,0.68,3278.044053439395
69,0.6900000000000001,3586.751611728787
70,0.7000000000000001,3703.3838657941005
71,0.71,3924.531493327864
72,0.72,3987.8290484184977
73,0.73,4150.575494572388
74,0.74,4183.913282993846
75,0.75,4433.755732459366
76,0.76,4505.266407863774
77,0.77,4605.48061659575
78,0.78,4623.939438246607
79,0.79,4774.298464386219
80,0.8,4969.141347198612
81,0.81,5039.198605957926
82,0.8200000000000001,5049.28709165554
83,0.8300000000000001,5140.997204732576
84,0.84,5171.935921608377
85,0.85,5350.805352122727
86,0.86,5750.27170471055
87,0.87,5796.458394172815
88,0.88,6081.474149278971
89,0.89,6154.891486560227
90,0.9,6204.32811779469
91,0.91,6367.756060245099
92,0.92,6393.278103049647
93,0.93,6694.238006479635
94,0.9400000000000001,6843.143244072663
95,0.9500000000000001,6981.383954140566
96,0.96,7009.365424917211
97,0.97,7251.781653738541
98,0.98,7310.028603533114
99,0.99,7339.327286013526
100,1.0,7593.155119905059
