,cdf,Number of Output Tokens
0,0.0,76.02034057843467
1,0.01,76.02034057843467
2,0.02,76.02034057843467
3,0.03,76.02034057843467
4,0.04,76.02034057843467
5,0.05,76.02034057843467
6,0.06,84.01547239000945
7,0.07,84.01547239000945
8,0.08,84.01547239000945
9,0.09,84.01547239000945
10,0.1,84.01547239000945
11,0.11,84.01547239000945
12,0.12,93.03734865738271
13,0.13,93.03734865738271
14,0.14,93.03734865738271
15,0.15,93.03734865738271
16,0.16,93.03734865738271
17,0.17,93.03734865738271
18,0.18,127.10342371406671
19,0.19,127.10342371406671
20,0.2,127.10342371406671
21,0.21,127.10342371406671
22,0.22,127.10342371406671
23,0.23,127.10342371406671
24,0.24,128.89538671575343
25,0.25,128.89538671575343
26,0.26,128.89538671575343
27,0.27,128.89538671575343
28,0.28,128.89538671575343
29,0.29,128.89538671575343
30,0.3,134.96306318989895
31,0.31,134.96306318989895
32,0.32,134.96306318989895
33,0.33,134.96306318989895
34,0.34,134.96306318989895
35,0.35000000000000003,134.96306318989895
36,0.36,492.25730938349477
37,0.37,492.25730938349477
38,0.38,492.25730938349477
39,0.39,492.25730938349477
40,0.4,492.25730938349477
41,0.41000000000000003,492.25730938349477
42,0.42,495.2197326096817
43,0.43,495.2197326096817
44,0.44,495.2197326096817
45,0.45,495.2197326096817
46,0.46,495.2197326096817
47,0.47000000000000003,495.2197326096817
48,0.48,559.4765469503996
49,0.49,559.4765469503996
50,0.5,559.4765469503996
51,0.51,559.4765469503996
52,0.52,559.4765469503996
53,0.53,661.825327248686
54,0.54,661.825327248686
55,0.55,661.825327248686
56,0.56,661.825327248686
57,0.5700000000000001,661.825327248686
58,0.58,661.825327248686
59,0.59,758.2413285249404
60,0.6,758.2413285249404
61,0.61,758.2413285249404
62,0.62,758.2413285249404
63,0.63,758.2413285249404
64,0.64,758.2413285249404
65,0.65,826.336221897287
66,0.66,826.336221897287
67,0.67,826.336221897287
68,0.68,826.336221897287
69,0.6900000000000001,826.336221897287
70,0.7000000000000001,826.336221897287
71,0.71,834.6410417771938
72,0.72,834.6410417771938
73,0.73,834.6410417771938
74,0.74,834.6410417771938
75,0.75,834.6410417771938
76,0.76,834.6410417771938
77,0.77,849.8006124117521
78,0.78,849.8006124117521
79,0.79,849.8006124117521
80,0.8,849.8006124117521
81,0.81,849.8006124117521
82,0.8200000000000001,849.8006124117521
83,0.8300000000000001,865.2355260624361
84,0.84,865.2355260624361
85,0.85,865.2355260624361
86,0.86,865.2355260624361
87,0.87,865.2355260624361
88,0.88,865.2355260624361
89,0.89,950.5129494524176
90,0.9,950.5129494524176
91,0.91,950.5129494524176
92,0.92,950.5129494524176
93,0.93,950.5129494524176
94,0.9400000000000001,950.5129494524176
95,0.9500000000000001,1227.827800171872
96,0.96,1227.827800171872
97,0.97,1227.827800171872
98,0.98,1227.827800171872
99,0.99,1227.827800171872
100,1.0,1872.4481254963991
