,cdf,Number of Prompt Tokens
0,0.0,981.4212697973203
1,0.01,981.4212697973203
2,0.02,981.4212697973203
3,0.03,981.4212697973203
4,0.04,981.4212697973203
5,0.05,981.4212697973203
6,0.06,1015.3633499553291
7,0.07,1015.3633499553291
8,0.08,1015.3633499553291
9,0.09,1015.3633499553291
10,0.1,1015.3633499553291
11,0.11,1015.3633499553291
12,0.12,1324.780277456438
13,0.13,1324.780277456438
14,0.14,1324.780277456438
15,0.15,1324.780277456438
16,0.16,1324.780277456438
17,0.17,1324.780277456438
18,0.18,1324.780277456438
19,0.19,1324.780277456438
20,0.2,1324.780277456438
21,0.21,1324.780277456438
22,0.22,1324.780277456438
23,0.23,1324.780277456438
24,0.24,1472.9197460836535
25,0.25,1472.9197460836535
26,0.26,1472.9197460836535
27,0.27,1472.9197460836535
28,0.28,1472.9197460836535
29,0.29,1472.9197460836535
30,0.3,1484.7503673844674
31,0.31,1484.7503673844674
32,0.32,1484.7503673844674
33,0.33,1484.7503673844674
34,0.34,1484.7503673844674
35,0.35000000000000003,1484.7503673844674
36,0.36,1690.8759338004254
37,0.37,1690.8759338004254
38,0.38,1690.8759338004254
39,0.39,1690.8759338004254
40,0.4,1690.8759338004254
41,0.41000000000000003,1690.8759338004254
42,0.42,2651.82172890474
43,0.43,2651.82172890474
44,0.44,2651.82172890474
45,0.45,2651.82172890474
46,0.46,2651.82172890474
47,0.47000000000000003,2651.82172890474
48,0.48,3733.1297716143254
49,0.49,3733.1297716143254
50,0.5,3733.1297716143254
51,0.51,3733.1297716143254
52,0.52,3733.1297716143254
53,0.53,7208.40122079606
54,0.54,7208.40122079606
55,0.55,7208.40122079606
56,0.56,7208.40122079606
57,0.5700000000000001,7208.40122079606
58,0.58,7208.40122079606
59,0.59,9556.745841992824
60,0.6,9556.745841992824
61,0.61,9556.745841992824
62,0.62,9556.745841992824
63,0.63,9556.745841992824
64,0.64,9556.745841992824
65,0.65,9652.79276666178
66,0.66,9652.79276666178
67,0.67,9652.79276666178
68,0.68,9652.79276666178
69,0.6900000000000001,9652.79276666178
70,0.7000000000000001,9652.79276666178
71,0.71,13918.896834251875
72,0.72,13918.896834251875
73,0.73,13918.896834251875
74,0.74,13918.896834251875
75,0.75,13918.896834251875
76,0.76,13918.896834251875
77,0.77,15017.969138169508
78,0.78,15017.969138169508
79,0.79,15017.969138169508
80,0.8,15017.969138169508
81,0.81,15017.969138169508
82,0.8200000000000001,15017.969138169508
83,0.8300000000000001,20231.636164173382
84,0.84,20231.636164173382
85,0.85,20231.636164173382
86,0.86,20231.636164173382
87,0.87,20231.636164173382
88,0.88,20231.636164173382
89,0.89,22225.661780407474
90,0.9,22225.661780407474
91,0.91,22225.661780407474
92,0.92,22225.661780407474
93,0.93,22225.661780407474
94,0.9400000000000001,22225.661780407474
95,0.9500000000000001,27694.881997430202
96,0.96,27694.881997430202
97,0.97,27694.881997430202
98,0.98,27694.881997430202
99,0.99,27694.881997430202
100,1.0,28998.602698626644
