,cdf,Number of Total Tokens
0,0.0,1247.6310551477372
1,0.01,1505.683066499475
2,0.02,1551.5379580868073
3,0.03,1560.8751725795746
4,0.04,1631.0870374517353
5,0.05,1644.1880723859645
6,0.06,1694.261070805029
7,0.07,1711.2886833551208
8,0.08,1721.5872837936422
9,0.09,1728.4874263137149
10,0.1,1738.8895294420502
11,0.11,1742.3707897612514
12,0.12,1752.8564434992995
13,0.13,1763.4052003006911
14,0.14,1784.693544405444
15,0.15,1791.8466175763326
16,0.16,1799.0283603504438
17,0.17,1813.478314801337
18,0.18,1824.3918963318629
19,0.19,1842.727345859427
20,0.2,1864.9732901399614
21,0.21,1883.7165895924384
22,0.22,1906.4573680296537
23,0.23,1910.2740994971807
24,0.24,1941.084319839839
25,0.25,1980.296837407514
26,0.26,2004.2035608860951
27,0.27,2036.5287404708965
28,0.28,2061.1143119543917
29,0.29,2065.2406669332795
30,0.3,2085.996687658305
31,0.31,2214.987563227932
32,0.32,2232.778538680761
33,0.33,2300.7767915054797
34,0.34,2328.552442863115
35,0.35000000000000003,2394.673305539692
36,0.36,2409.0845406483095
37,0.37,2438.167714878493
38,0.38,2447.939920376798
39,0.39,2532.600988519919
40,0.4,2542.7516837136914
41,0.41000000000000003,2568.3067715495927
42,0.42,2588.9356380437134
43,0.43,2673.1213949017224
44,0.44,2705.392099376645
45,0.45,2738.0523852485385
46,0.46,2782.2135856341033
47,0.47000000000000003,2815.801282990214
48,0.48,2872.684261306917
49,0.49,2960.170551282342
50,0.5,2977.984970342114
51,0.51,3013.9360771986753
52,0.52,3044.22664850295
53,0.53,3087.1455673130226
54,0.54,3093.326038919255
55,0.55,3124.4144928709243
56,0.56,3174.8072082369963
57,0.5700000000000001,3200.3075397272987
58,0.58,3284.606704197032
59,0.59,3324.259438438598
60,0.6,3364.390872102787
61,0.61,3384.6379044403493
62,0.62,3487.715509298664
63,0.63,3543.967794435271
64,0.64,3622.7990767920714
65,0.65,3651.8977184800697
66,0.66,3755.595888685601
67,0.67,3831.463983779132
68,0.68,3862.2386404027006
69,0.6900000000000001,3893.260481782359
70,0.7000000000000001,4019.859643031454
71,0.71,4052.1475102051904
72,0.72,4125.746594515506
73,0.73,4268.433966322306
74,0.74,4372.115619236352
75,0.75,4670.4108177561075
76,0.76,4726.793385178501
77,0.77,4822.2809777372695
78,0.78,4851.301648226734
79,0.79,5130.725482045797
80,0.8,5213.477367055974
81,0.81,5350.805352122727
82,0.8200000000000001,5437.106837314286
83,0.8300000000000001,5535.860913644395
84,0.84,5761.783760175436
85,0.85,5913.55466056817
86,0.86,6081.474149278971
87,0.87,6216.749195107593
88,0.88,6342.335901741285
89,0.89,6457.5316377259705
90,0.9,6627.629203300419
91,0.91,6667.514528133885
92,0.92,6721.068592847705
93,0.93,6843.143244072663
94,0.9400000000000001,6995.3606987935
95,0.9500000000000001,7165.28029124903
96,0.96,7280.84688174428
97,0.97,7427.929794804708
98,0.98,7502.5817553405805
99,0.99,7654.144011486405
100,1.0,7966.515660595473
