Number of Prompt Tokens (Mean),Number of Prompt Tokens (P50),Number of Prompt Tokens (P90),Number of Prompt Tokens (P99)
2941.65234,2246.21548,6241.66600,7339.32729
570.98047,596.45371,1050.47930,1409.51636
3512.63281,2977.98497,6627.62920,7654.14401
0.02410,0.02331,0.02796,0.03737
24.11787,23.92683,32.95031,39.05616
0.02377,0.01600,0.04703,0.24982
37.70734,37.22575,51.57313,60.15959
0.12410,0.06741,0.30944,0.49808
14.04373,14.71696,23.68876,30.72266
0.51992,0.46533,0.84959,0.90393
0.93254,0.39337,2.69393,4.32754
